unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Agencia de Recaudación de la Provincia de Buenos Aires ,Ministerio de Economía,,Ley 13766,https://normas.gba.gob.ar/documentos/08OqZcZV.html,17/12/2007,https://www.arba.gov.ar/,GIRARD, Cristian Alexis,Masculino,Decreto 3049/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3049/475489,10/12/2024
Subdirección Ejecutiva de Recaudación y Catastro,Ministerio de Economía,Agencia de Recaudación de la Provincia de Buenos Aires ,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar,GOSMAN,Federico Horacio,Masculino,Resolución 6/2020 de la Agencia de Recaudación de la Provincia (Arba),https://normas.gba.gov.ar/ar-b/resolucion/2020/6/209935,
Subdirección Ejecutiva de Acciones Territoriales y Servicios,Ministerio de Economía,Agencia de Recaudación de la Provincia de Buenos Aires ,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar,SPIRITOSO,Gaspar Alejandro,Masculino,Resolución 500/2019 de la Agencia de Recaudación de la Provincia (Arba),https://normas.gba.gov.ar/ar-b/resolucion/2019/500/209722,
Subdirección Ejecutiva de Asuntos Jurídicos,Ministerio de Economía,Agencia de Recaudación de la Provincia de Buenos Aires ,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar,NUNEZ IZU,Pamela,Femenino,Resolución 630/2025 de la Agencia de Recaudación (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2025/630/546702,03/11/2025
Subdirección Ejecutiva de Administración y Tecnología,Ministerio de Economía,Agencia de Recaudación de la Provincia de Buenos Aires ,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar,QUESADA ALLUE,Diego ,Masculino,Resolución 450/2023 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2023/450/403275,07/12/2023
GERENCIA GENERAL DE COMUNICACIÓN Y RELACIONES INSTITUCIONALES,Ministerio de Economía,Agencia de Recaudación de la Provincia de Buenos Aires ,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,PILKOWICZ ,ALEJANDRO JOSE,Masculino,Resolución 133/2017 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2017/133/188067,01/04/2017
GERENCIA GENERAL DE AUDITORÍA Y RESPONSABILIDAD PROFESIONAL,Ministerio de Economía,Agencia de Recaudación de la Provincia de Buenos Aires ,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,BARRIOS,Analía Soledad,Femenino,Resolución 772/2025 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2025/772/552858,05/12/2025
Unidad de Asistencia Técnica Integral,Ministerio de Economía,Agencia de Recaudación de la Provincia de Buenos Aires ,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,BELLOTTI,Graciela María,Femenino,Resolución 776/2025 de la Agencia de Recaudación (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2025/776/553114,15/12/2025
Gerencia General de Recaudación,Ministerio de Economía,Subdirección Ejecutiva de Recaudación y Catastro,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar,SANTOS ,GUSTAVO DAMIAN,Masculino,Resolución 178/2024 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2024/178/436036,10/05/2020
Gerencia General de Cobranzas,Ministerio de Economía,Subdirección Ejecutiva de Recaudación y Catastro,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar,RIZZO ,ALFREDO JULIO,Masculino,Resolución 133/2017 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2017/133/188067,01/04/2017
Gerencia General de Catastro y Geodesia,Ministerio de Economía,Subdirección Ejecutiva de Recaudación y Catastro,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,NOVAK,Gabriela,Femenino,Resolución 39/2020 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2020/39/210658,16/01/2020
Gerencia General de Estudios Económicos y Estadísticas Tributarias,Ministerio de Economía,Subdirección Ejecutiva de Recaudación y Catastro,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,CERIMEDO ,FEDERICO,Masculino,Resolución 133/2017 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2017/133/188067,01/04/2017
Gerencia General de Fiscalización Individualizada,Ministerio de Economía,Subdirección Ejecutiva de Acciones Territoriales y Servicios,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,SIRI,Adrián Leonardo,Masculino,Resolución 509/2019 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2019/509/209802,12/12/2019
Gerencia General de Fiscalización Masiva,Ministerio de Economía,Subdirección Ejecutiva de Acciones Territoriales y Servicios,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,GONZALEZ IBARRA,Claudia Susana,Femenino,Resolución 513/2019 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2019/513/209805,19/12/2019
Gerencia General de Coordinación de Atención y Servicios,Ministerio de Economía,Subdirección Ejecutiva de Acciones Territoriales y Servicios,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,VERDOLINI,Valeria Soledad,Femenino,Resolución 11/2023 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2023/11/342147,23/01/2023
Gerencia de Inteligencia Fiscal,Ministerio de Economía,Subdirección Ejecutiva de Acciones Territoriales y Servicios,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,CHIALVA ,MARIA JOSEFINA,Femenino,Resolución 133/2017 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2017/133/188067,01/04/2017
Gerencia de Planificación de Acciones Territoriales,Ministerio de Economía,Subdirección Ejecutiva de Acciones Territoriales y Servicios,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,MICUCCI,Pablo Javier,Masculino,Resolución 133/2017 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2017/133/188067,01/04/2017
Gerencia General de Coordinación Jurídica,Ministerio de Economía,Subdirección Ejecutiva de Asuntos Jurídicos,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,ANTICO,Luciano Manuel ,Masculino,,,18/12/2019
Gerencia General de Técnica Tributaria y Catastral,Ministerio de Economía,Subdirección Ejecutiva de Asuntos Jurídicos,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,MARUCCIO,SANDRA PATRICIA,Femenino,Resolución 133/2017 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2017/133/188067,01/04/2017
Gerencia General de Administración,Ministerio de Economía,Subdirección Ejecutiva de Administración y Tecnología,Resolución 16/2017 de la Agencia de Recaudación,https://normas.gba.gob.ar/ar-b/resolucion/2017/16/188139,17/04/2017,https://www.arba.gov.ar/,GALUZZI,Natalia Paula,Femenino,Resolución 855/2025 de la Agencia de Recaudación de la Provincia de Buenos Aires (ARBA),https://normas.gba.gob.ar/ar-b/resolucion/2025/855/558087,31/12/2025
