unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/infraestructura,KATOPODIS, Gabriel Nicolás,Masculino,Decreto 9 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/9b/403249,
"Subsecretaría Técnica, Administrativa y Legal",Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,SAURO,Juan Guillermo,Masculino,Decreto 123/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/123/414378,21/12/2023
Subsecretaría de Energía,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,GHIONI ,Gastón,Masculino,Decreto 56/2020,https://normas.gba.gov.ar/documentos/0P39Z4u7.pdf,11/12/2019
Subsecretaría de Planificación y Coordinación para el Desarrollo Territorial Sostenible,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 393/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/393/429789,26/04/2024,https://www.gba.gob.ar/infraestructura,CARDINI,Cecilia Mabel,Femenino,DECRETO 62/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/62/411803,01/01/2024
Subsecretaría de Recursos Hídricos,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,ALVAREZ,Néstor Fabián,Masculino,Decreto 28/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/28/410501,21/12/2023
Subsecretaría de Obras Públicas,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,RODRIGUEZ,Carlos Augusto,Masculino,Decreto 27/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/27/410500,18/12/2023
SUBSECRETARÍA DE FORTALECIMIENTO Y DESARROLLO DEL ESPACIO PÚBLICO,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,"_,_","_,_",Femenino,,,
UNIDAD DE ANÁLISIS ECONÓMICO REGULATORIO DE CONCESIONES VIALES,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,,,,,,
Dirección Provincial de Género y Diversidad en Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 393/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/393/429789,26/04/2024,https://www.gba.gob.ar/infraestructura,VALLARINO,María Pía,Femenino,Resolución 1179/2024 del Ministerio de Infraestructura y Servicios Públicos,https://normas.gba.gob.ar/ar-b/resolucion/2024/1179/468702,01/11/2024
"Dirección Provincial de Comunicación, Prensa y Ceremonial",Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 393/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/393/429789,26/04/2024,https://www.gba.gob.ar/infraestructura,GONZALEZ CALDERON,Alonso,Masculino,Resolución 97/2024 del Ministerio de Infraestructura y Servicios Públicos,https://normas.gba.gob.ar/ar-b/resolucion/2024/97/414587,18/12/2023
Dirección Provincial de Relaciones Institucionales y Desarrollo Territorial,Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,Decreto 393/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/393/429789,26/04/2024,https://www.gba.gob.ar/infraestructura,ALVARO GRAND,María Agustina,Femenino,Resolución 64/2025 del Ministerio de Infraestructura y Servicios Públicos,https://normas.gba.gob.ar/ar-b/resolucion/2025/64/493178,01/01/2025
Consejo de Administración del Fondo Fiduciario Programa de Mejora de Infraestructura (PROMEI),Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,,,,https://www.gba.gob.ar/infraestructura,_____,_,Masculino,,,
Dirección General de Administración,Ministerio de Infraestructura y Servicios Públicos,"Subsecretaría Técnica, Administrativa y Legal",Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,MARQUEZ,María Laura,Femenino,Resolución 1649/2021 del Ministerio de Infraestructura y Servicios Públicos,https://normas.gba.gov.ar/documentos/VNraAyU6.pdf,01/10/2021
Dirección Provincial de Compras y Contrataciones,Ministerio de Infraestructura y Servicios Públicos,"Subsecretaría Técnica, Administrativa y Legal",Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,RODRIGUEZ,Astor Leandro Lautaro,Masculino,Resolución 87/2024 del Ministerio de Infraestructura y Servicios Públicos,https://normas.gba.gob.ar/ar-b/resolucion/2024/87/413982,01/01/2024
Dirección del Registro de Licitadores,Ministerio de Infraestructura y Servicios Públicos,"Subsecretaría Técnica, Administrativa y Legal",Decreto 36/2020,https://normas.gba.gov.ar/documentos/B3zE7ZU7.pdf,29/01/2020,https://www.gba.gob.ar/infraestructura,_____,_,Masculino,,,
Dirección Provincial Técnico Legal,Ministerio de Infraestructura y Servicios Públicos,"Subsecretaría Técnica, Administrativa y Legal",Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura, DI SALVO,Víctor Manuel Marcelo,Masculino,Resolución 81/2024 del Ministerio de Infraestructura y Servicios Públicos,https://normas.gba.gob.ar/ar-b/resolucion/2024/81/413645,21/12/2023
Dirección Provincial de Redeterminación de Precios de Obra Pública,Ministerio de Infraestructura y Servicios Públicos,"Subsecretaría Técnica, Administrativa y Legal",Decreto 323/2022,https://normas.gba.gob.ar/documentos/VWq4y6tY.pdf,19/04/2022,https://www.gba.gob.ar/infraestructura,ZORZOLI,Mariano,Masculino,Resolución 1752/2021 del Ministerio de Infraestructura y Servicios Públicos,https://normas.gba.gov.ar/documentos/VrlQY4iG.pdf,01/10/2021
