unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Instituto Cultural de la Provincia de Buenos Aires,Instituto Cultural de la Provincia de Buenos Aires,,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://institutocultural.gba.gob.ar/,SAINTOUT,Florencia Juana,Femenino,Decreto 20 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/20b/403269,29/12/2021
VICEPRESIDENCIA DEL INSTITUTO CULTURAL DE LA PROVINCIA DE BUENOS AIRES,Instituto Cultural de la Provincia de Buenos Aires,Instituto Cultural de la Provincia de Buenos Aires,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",ROSSI, José Ignacio,Masculino,Decreto 81/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/81/412048,01/01/2024
AGENCIA EJECUTIVA Y ARTÍSTICA DEL TEATRO MARTÍN FIERRO,Instituto Cultural de la Provincia de Buenos Aires,Instituto Cultural de la Provincia de Buenos Aires,Decreto 437/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/437/429966,26/04/2024,https://www.gba.gob.ar/cultura,BAUER,Tristan,Masculino,Decreto 738/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/738/437064,01/04/2024
SECRETARÍA EJECUTIVA,Instituto Cultural de la Provincia de Buenos Aires,VICEPRESIDENCIA DEL INSTITUTO CULTURAL DE LA PROVINCIA DE BUENOS AIRES,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",,,,,,
Subsecretaría de Industrias Creativas e Innovación Cultural,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",OTTAVIANO,Cynthia Lujan,Femenino,Decreto 401/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/401/430310,01/04/2024
Dirección Provincial de Comunicación y Prensa Cultural,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",CASTRO,Ángela Carolina,Femenino,"Resolución 557/2021 del Ministerio de Producción, Ciencia e Innovación Tecnológica",https://normas.gba.gov.ar/documentos/05pdlGFj.pdf,01/08/2021
Subsecretaría de Políticas Culturales,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",BELLONI,Victoria,Femenino,Decreto 257/2021,https://normas.gba.gob.ar/documentos/04QPNZcN.pdf,15/04/2021
Subsecretaría de Promoción Sociocultural,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",RIESGO,María Lorena,Femenino,Decreto 82/2020,https://normas.gba.gob.ar/documentos/Byzo2Qs4.html,20/01/2020
Consejo Provincial de Teatro Independiente,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",ILLAN,Aldana Belén,Femenino,"Resolución 386/2020 del Ministerio de Producción, Ciencia e Innovación Tecnológica",https://normas.gba.gob.ar/documentos/BK3baqSn.pdf,18/05/2020
"SUBSECRETARÍA TÉCNICA, ADMINISTRATIVA Y LEGAL",Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",VIVIANI,Tomás,Masculino,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/01/2022
UNIDAD PARTICIPACIÓN Y PRÁCTICAS CULTURALES EMERGENTES,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",DI LEO,Mauro Iván,Masculino,Resolución 1135/2024 del Instituto Cultural,https://normas.gba.gob.ar/ar-b/resolucion/2024/1135/447420,01/05/2024
CONSEJO PROVINCIAL DE TEATRO INDEPENDIENTE,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",,,,,,
UNIDAD IDENTIDAD BONAERENSE,Instituto Cultural de la Provincia de Buenos Aires,SECRETARÍA EJECUTIVA,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",CLAVIJO,José Rafael,Masculino,Decreto 284/2022,https://normas.gba.gob.ar/documentos/021LN5ir.pdf,03/01/2022
Dirección Provincial de Industrias Creativas y Economía de la Cultura,Instituto Cultural de la Provincia de Buenos Aires,Subsecretaría de Industrias Creativas e Innovación Cultural,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",RUBIN,Sebastián,Masculino,"Resolución 133/2020 del Ministerio de Producción, Ciencia e Innovación Tecnológica",https://normas.gba.gob.ar/documentos/0ZARQ4iq.pdf,20/12/2019
Dirección Provincial de Promoción y Producción Cultural en Territorios,Instituto Cultural de la Provincia de Buenos Aires,Subsecretaría de Industrias Creativas e Innovación Cultural,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",IGLESIAS,Lorena Mirta,Femenino,"Resolución 237/2020 del Ministerio de Producción, Ciencia e Innovación Tecnológica",https://normas.gba.gob.ar/documentos/xpzPG9iP.pdf,01/03/2020
Dirección de Comunicación y Prensa de Industrias Creativas e Innovación Cultural,Instituto Cultural de la Provincia de Buenos Aires,Dirección Provincial de Comunicación y Prensa Cultural,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",SAYAVEDRA, Luis Hernán,Masculino,Resolución 795/2026 del Instituto Cultural,https://normas.gba.gob.ar/ar-b/resolucion/2026/795/598548,01/05/2026
Dirección de Comunicación y Prensa de Políticas Culturales,Instituto Cultural de la Provincia de Buenos Aires,Dirección Provincial de Comunicación y Prensa Cultural,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",LO PRETE,Claudio Ramón,Masculino,"Resolución 340/2021 del Ministerio de Producción, Ciencia e Innovación Tecnológica",https://normas.gba.gov.ar/documentos/Bdan15SO.pdf,10/05/2021
DIRECCIÓN DE CEREMONIAL,Instituto Cultural de la Provincia de Buenos Aires,Dirección Provincial de Comunicación y Prensa Cultural,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",GUZZO ANUNZIATA,Ailén Angélica,Femenino,Resolución 936/2026 del Instituto Cultural,https://normas.gba.gob.ar/ar-b/resolucion/2026/936/611493,01/06/2026
DIRECCIÓN DE COMUNICACIÓN Y PRENSA,Instituto Cultural de la Provincia de Buenos Aires,Dirección Provincial de Comunicación y Prensa Cultural,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",GIMENEZ,Daiana Mailin,Masculino,Resolución 368/2022 del Instituto Cultural,https://normas.gba.gob.ar/documentos/VG8315Hk.pdf,03/01/2022
DIRECCIÓN DE CONTENIDOS CULTURALES,Instituto Cultural de la Provincia de Buenos Aires,Dirección Provincial de Comunicación y Prensa Cultural,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",FERRARI,Candela Yasmín,Femenino,Decreto 352/2022,https://normas.gba.gob.ar/documentos/021gbohr.pdf,03/01/2022
Dirección General y Artística del Centro Provincial de las Artes Teatro Argentino,Instituto Cultural de la Provincia de Buenos Aires,Subsecretaría de Políticas Culturales,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",BAUER,Ernesto,Masculino,"Resolución 191/2020 del Ministerio de Producción, Ciencia e Innovación Tecnológica",https://normas.gba.gob.ar/documentos/B3zvD2C7.pdf,01/03/2020
Dirección Provincial de Patrimonio Cultural,Instituto Cultural de la Provincia de Buenos Aires,Subsecretaría de Políticas Culturales,Decreto 90/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/90/278133,03/02/2022,"",DELHEYE,Pedro,Masculino,"Resolución 191/2020 del Ministerio de Producción, Ciencia e Innovación Tecnológica",https://normas.gba.gob.ar/documentos/B3zvD2C7.pdf,01/02/2020
