unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
DIRECCIÓN DE ESCUELA DE GOBIERNO,Ministerio de Gobierno,DIRECCIÓN PROVINCIAL DE VINCULACIÓN CON EL SISTEMA UNIVERSITARIO Y CIENTÍFICO,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,CAPUTO,Tania Alejandra,Femenino,Resolución 333/2025 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2025/333/525572,01/07/2025
Dirección de Coordinación Parlamentaria,Ministerio de Gobierno,Dirección Provincial de Relaciones Parlamentarias,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,LOPEZ,Silvia Noemí ,Femenino,Resolución 189/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/189/432330,01/03/2024
Dirección de Evaluación de Proyectos Legislativos,Ministerio de Gobierno,Dirección Provincial de Relaciones Parlamentarias,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,FERRARI,Paula Daniela,Femenino,Resolución 527/2022 Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/V9rNpRsW.pdf,01/03/2022
Dirección Electoral,Ministerio de Gobierno,Dirección Provincial de Asuntos Electorales,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,SCHKOLNIK ,Francisco Octavio,Femenino,Resolución 20/2025 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2025/20/488080,01/01/2025
Dirección de Planificación Urbana y Territorial,Ministerio de Gobierno,Dirección Provincial de Ordenamiento Urbano y Territorial,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,VELAZCO,Evangelina Paula,Femenino,Resolución 1300/2019 del Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/VG8Y7yuk.pdf,01/12/2019
Dirección de Gestión Territorial,Ministerio de Gobierno,Dirección Provincial de Ordenamiento Urbano y Territorial,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,LOPEZ,Juliana,Femenino,Resolución 768/2025 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2025/768/557598,01/11/2025
Dirección Técnica-Legal,Ministerio de Gobierno,Dirección Provincial de Ordenamiento Urbano y Territorial,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno, TAU ,Sofía Clara,Femenino,Resolución 768/2025 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2025/768/557598,01/11/2025
DIRECCIÓN DE GESTIÓN DE LA ISLA MARTÍN GARCÍA,Ministerio de Gobierno,Dirección Provincial de Islas,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,SIMONETTA,Diego Enrique,Masculino,Resolución 51/2020 del Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/BdaL7mUO.pdf,24/01/2020
DIRECCIÓN DE GESTIÓN INTEGRAL DE ISLAS DEL DELTA,Ministerio de Gobierno,Dirección Provincial de Islas,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,TOSCA MANZOR,Macarena,Femenino,Resolución 454/2026 del Ministerio de Gobierno,Resolución 454/2026 del Ministerio de Gobierno,01/08/2026
Dirección de Asesoramiento y Relaciones Municipales de Región Conurbano,Ministerio de Gobierno,Dirección Provincial de Región Conurbano,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,ROSSO,Francisco,Masculino,Resolución 197/2022 del Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/xpqWRPfP.pdf,01/03/2022
