unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
INSTITUTO DE LA VIVIENDA,Ministerio de Hábitat y Desarrollo Urbano,Ministerio de Hábitat y Desarrollo Urbano,Decreto 811/2021,https://normas.gba.gov.ar/documentos/Be4A92ij.pdf,28/09/2021,https://www.gba.gob.ar/vivienda,MENENDEZ,Diego,Masculino,Decreto 71/2022,https://normas.gba.gob.ar/documentos/BOZneWiy.pdf,30/12/2021
Administración General,Ministerio de Hábitat y Desarrollo Urbano,INSTITUTO DE LA VIVIENDA,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,"_,_","_,_",Femenino,,,
Subadministración General,Ministerio de Hábitat y Desarrollo Urbano,INSTITUTO DE LA VIVIENDA,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,RALINQUEO, Ángel Hernán Horacio,Masculino,Resolución 613/2024 del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2024/613/467646,01/03/2024
"GERENCIA TÉCNICA, ADMINISTRATIVA Y LEGAL",Ministerio de Hábitat y Desarrollo Urbano,Subadministración General,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,BERAZADI ,Daniel Eduardo,Masculino,Decreto 165/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/165/417211,10/01/2024
GERENCIA DE OBRAS Y PROYECTOS URBANOS,Ministerio de Hábitat y Desarrollo Urbano,Subadministración General,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,MEDINA SEIJAS,María Florencia,Femenino,Resolución 899/2024 del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2024/899/435220,01/03/2024
GERENCIA ESCRITURARIA Y SOCIAL,Ministerio de Hábitat y Desarrollo Urbano,Subadministración General,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,KARLES DOMINGUEZ,Karina Inés,Femenino,Resolución 366/2024 del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2024/366/420541,01/02/2024
GERENCIA DE DESARROLLO DE PROGRAMAS DE ACCESO AL CRÉDITO,Ministerio de Hábitat y Desarrollo Urbano,Subadministración General,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,BARBERIS,Julián,Masculino,Resolución 466/2024 del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2024/466/423024,01/02/2024
Dirección de Compras y Contrataciones ,Ministerio de Hábitat y Desarrollo Urbano,"GERENCIA TÉCNICA, ADMINISTRATIVA Y LEGAL",Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,GOMEZ DUCHOWNIK,Patricia Beatriz,Femenino,DECRETO 1090/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1090/367783,01/01/2023
DIRECCIÓN DE PRESUPUESTO Y CONTABILIDAD,Ministerio de Infraestructura y Servicios Públicos,"GERENCIA TÉCNICA, ADMINISTRATIVA Y LEGAL",Decreto 811/2021,https://normas.gba.gov.ar/documentos/Be4A92ij.pdf,28/09/2021,"",_____,_,Masculino,,,
Dirección de Administración,Ministerio de Hábitat y Desarrollo Urbano,"GERENCIA TÉCNICA, ADMINISTRATIVA Y LEGAL",Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,BORAGINA,Martin Osvaldo,Masculino,Resolución 367/2024 del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2024/367/420543,01/01/2024
Dirección de Servicios Técnicos,Ministerio de Hábitat y Desarrollo Urbano,"GERENCIA TÉCNICA, ADMINISTRATIVA Y LEGAL",Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,POLIMENI,Agustina ,Femenino,Resolución 2433/2024 del Administración General del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2024/2433/497702,04/11/2024
DIRECCIÓN DE ASUNTOS LEGALES,Ministerio de Hábitat y Desarrollo Urbano,"GERENCIA TÉCNICA, ADMINISTRATIVA Y LEGAL",Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,ALVAREZ,Mauro,Masculino,Resolución 465/2024 del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2024/465/423022,01/02/2024
DIRECCIÓN DE PROYECTOS URBANOS Y DE VIVIENDA,Ministerio de Hábitat y Desarrollo Urbano,GERENCIA DE OBRAS Y PROYECTOS URBANOS,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,IDIAQUEZ,Mariana de Jesús,Femenino,Resolución 1521/2026 del Administración General del Instituto de la Vivienda,https://normas.gba.gob.ar/ar-b/resolucion/2026/1521/612809,11/05/2026
DIRECCIÓN DE LOCALIZACIÓN DE PROYECTOS,Ministerio de Hábitat y Desarrollo Urbano,GERENCIA DE OBRAS Y PROYECTOS URBANOS,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,COMPAGNUCCI,Diego Hernán,Masculino,Decreto 1133/2022,https://normas.gba.gob.ar/documentos/0nJA3etr.pdf,18/03/2022
DIRECCIÓN DE EJECUCIÓN DE OBRAS,Ministerio de Hábitat y Desarrollo Urbano,GERENCIA DE OBRAS Y PROYECTOS URBANOS,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,,,,,,
Dirección Escrituraria,Ministerio de Hábitat y Desarrollo Urbano,GERENCIA ESCRITURARIA Y SOCIAL,Decreto 245/2022,https://normas.gba.gob.ar/documentos/xAAJaXfR.pdf,18/03/2022,https://www.gba.gob.ar/vivienda,MARTIRES,Patricia Viviana,Femenino,Decreto 1604/2022,https://normas.gba.gob.ar/documentos/x6vPq4CY.pdf,18/03/2022
