unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Organismo de Control de la Energía Eléctrica de la Provincia de Buenos Aires (O.C.E.B.A),Ministerio de Infraestructura y Servicios Públicos,Subsecretaría de Energía,Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,ROZENGARDT,Diego Leandro,Masculino,Decreto 303/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/303/424892,15/03/2024
O.C.E.B.A. (Vicepresidencia),Ministerio de Infraestructura y Servicios Públicos,Organismo de Control de la Energía Eléctrica de la Provincia de Buenos Aires (O.C.E.B.A),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,DAOUD,Roberto Emir,Masculino,Decreto 555/2026,https://normas.gba.gob.ar/ar-b/decreto/2026/555/588090,15/03/2024
Vocalía I (Directorio OCEBA),Ministerio de Infraestructura y Servicios Públicos,O.C.E.B.A. (Vicepresidencia),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/,ARCE,Jorge Alberto ,Masculino,DECRETO 722/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/722/359312,17/04/2023
Vocalía II (Directorio OCEBA),Ministerio de Infraestructura y Servicios Públicos,Vocalía I (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/,BARCELONA,Osvaldo ,Masculino,Decreto 303/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/303/424892,15/03/2024
Vocalía III (Directorio OCEBA),Ministerio de Infraestructura y Servicios Públicos,Vocalía II (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/,AEREBOE,Edgardo Fabián,Masculino,Decreto 929/2026,https://normas.gba.gob.ar/ar-b/decreto/2026/929/608345,20/05/2026
Gerencia de Control de Concesiones,Ministerio de Infraestructura y Servicios Públicos,Vocalía III (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,LAMBOGLIA,Marcelo,Masculino,,,
Gerencia de Procesos Regulatorios,Ministerio de Infraestructura y Servicios Públicos,Vocalía III (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,FERNANDEZ,Sergio,Masculino,,,
Gerencia de Mercados,Ministerio de Infraestructura y Servicios Públicos,Vocalía III (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,MELUCCI,Daniel,Masculino,Decreto 2257/1997,https://normas.gba.gob.ar/documentos/B3Xq2i7V.pdf,
Gerencia de Administración y Personal,Ministerio de Infraestructura y Servicios Públicos,Vocalía III (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,OVIEDO,Ekel,Masculino,,,
Secretaría de Relaciones Institucionales,Ministerio de Infraestructura y Servicios Públicos,Vocalía III (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,SECCO,Daniel,Masculino,,,
Secretaría Ejecutiva,Ministerio de Infraestructura y Servicios Públicos,Vocalía III (Directorio OCEBA),Decreto 2256/1997,https://normas.gba.gob.ar/documentos/VrELPiGB.pdf,07/08/1997,https://oceba.gba.gov.ar/nueva_web/,OLEYNICKY,Patricia,Femenino,,,
