unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/desarrollo_agrario,RODRIGUEZ,Javier Leonel,Masculino,Decreto 5 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/5b/403244,11/12/2019
Corporación de Fomento del Valle del Río Colorado (CORFO),Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,Decreto-ley 7948/1972,https://normas.gba.gob.ar/documentos/P0zwbuXx.pdf,22/11/1972,https://www.gba.gob.ar/desarrollo_agrario,VERGARA,JOSÉ RAMIRO,Masculino,Decreto 947/2020,https://normas.gba.gob.ar/documentos/B7OdgKUK.pdf,23/10/2020
"Subsecretaría Técnica, Administrativa y Legal",Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,Ley 15309,https://normas.gba.gov.ar/documentos/0Z6pzYFE.html,29/12/2021,https://www.gba.gob.ar/desarrollo_agrario,LAGUNA WEINBERG,Leonardo,Masculino,Decreto  38/2019 B,https://normas.gba.gob.ar/documentos/VNa8XRh6.pdf,12/12/2019
 SUBSECRETARÍA DE AGRICULTURA GANADERÍA Y PESCA,Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,DECRETO 75/2020,https://normas.gba.gob.ar/documentos/xk2N1pUA.html,14/02/2020,https://www.gba.gob.ar/desarrollo_agrario,SEAIN,Carla Estefanía,Femenino,Decreto 131/2020,https://normas.gba.gob.ar/documentos/BjbJ76Iy.html,11/12/2019
 SUBSECRETARÍA DE DESARROLLO AGRARIO Y CALIDAD AGROALIMENTARIA,Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,DECRETO 75/2020,https://normas.gba.gob.ar/documentos/xk2N1pUA.html,14/02/2020,https://www.gba.gob.ar/desarrollo_agrario,AMARILLA,Cristian Ariel,Masculino,Decreto 131/2020,https://normas.gba.gob.ar/documentos/BjbJ76Iy.html,11/12/2019
DIRECCIÓN DE COMUNICACIÓN Y RELACIONES INSTITUCIONALES,Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,DECRETO 75/2020,https://normas.gba.gob.ar/documentos/xk2N1pUA.html,14/02/2020,https://www.gba.gob.ar/desarrollo_agrario,KALTENBACH,Federico Omar,Masculino,Resolución 568/2024 del Ministerio de Desarrollo Agrario,https://normas.gba.gob.ar/ar-b/resolucion/2024/568/472312,23/09/2024
"Dirección Provincial de Logística, Infraestructura en Conectividad y Trabajo Rural",Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,Decreto 312/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/312/497787,,https://www.gba.gob.ar/desarrollo_agrario,SANCHEZ SOSA,Jonatan Ariel,Masculino,Resolución 230/2025 del Ministerio de Desarrollo Agrario,https://normas.gba.gob.ar/ar-b/resolucion/2025/230/521181,01/03/2025
GERENCIA TÉCNICA,Ministerio de Desarrollo Agrario,Corporación de Fomento del Valle del Río Colorado (CORFO),Decreto-ley 7948/1972,https://normas.gba.gob.ar/documentos/P0zwbuXx.pdf,22/11/1972,https://www.gba.gob.ar/desarrollo_agrario,MONJE PINILLA,Miguel Ángel ,Masculino,Resolución 45/2024 del Corporacion de Fomento Río Colorado (CORFO),https://normas.gba.gob.ar/ar-b/resolucion/2024/45/453040,01/01/2024
GERENCIA ADMINISTRATIVA,Ministerio de Desarrollo Agrario,Corporación de Fomento del Valle del Río Colorado (CORFO),Decreto-ley 7948/1972,https://normas.gba.gob.ar/documentos/P0zwbuXx.pdf,22/11/1972,https://www.gba.gob.ar/desarrollo_agrario,LOZANO,Juan Pablo,Masculino,Decreto 642/2022,https://normas.gba.gob.ar/documentos/B7L94KIK.pdf,25/02/2022
Área Planeamiento,Ministerio de Desarrollo Agrario,Corporación de Fomento del Valle del Río Colorado (CORFO),Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
