unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/comunicacion_publica,REY,Jesica Laura,Femenino,Decreto 4 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/4b/403242,11/12/2019
"Subsecretaría Técnica, Administrativa y Legal",Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,DE VEGA,Fernando Aníbal,Masculino,Decreto 291/2022,https://normas.gba.gob.ar/documentos/05XbmqFj.pdf,07/03/2022
Subsecretaría de Planificación de Comunicación Gubernamental,Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,IGLESIAS,Juan Manuel,Masculino,Decreto 48/2020,https://normas.gba.gob.ar/documentos/BdaLzZUO.pdf,11/12/2019
Subsecretaría de Producción y Contenidos,Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,MOLINA,Anahí Gabriela,Femenino,Decreto 565/2023,https://normas.gba.gob.ar/documentos/xknRajcR.pdf,20/03/2023
Subsecretaría de Coordinación de Medios,Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,LOPISI,Mariana Inés,Femenino,Decreto 1305/2022,https://normas.gba.gob.ar/documentos/BdN9v5tO.pdf,16/08/2022
Unidad de Coordinación por la Conmemoración del Bicentenario de la Provincia de Buenos Aires,Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,"_,_","_,_",Femenino,,,
Subsecretaría de Control de Gestión y Comunicación Institucional ,Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,CULOT,Laura Viviana,Femenino,DECRETO 739/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/739/437711,01/05/2024
Unidad para el Fortalecimieto de la Identidad Bonaerense,Ministerio de Comunicación Pública,Ministerio de Comunicación Pública,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,BUONO REPETTO,Juan Esteban,Masculino,Resolución 129/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/129/441318,01/05/2024
Dirección General de Administración,Ministerio de Comunicación Pública,"Subsecretaría Técnica, Administrativa y Legal",Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,COYA,Ezequiel,Masculino,Resolución 38/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/38/415125,01/02/2024
Dirección provincial de logistica y servicios auxiliares,Ministerio de Comunicación Pública,"Subsecretaría Técnica, Administrativa y Legal",Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,VARGAS,Claudio Enrique ,Masculino,Resolución 122/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/122/440198,01/05/2024
Dirección Provincial de Comunicación Estratégica,Ministerio de Comunicación Pública,Subsecretaría de Planificación de Comunicación Gubernamental,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,BELLONI,Matías,Masculino,Resolución 5/2020 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/documentos/0zvdRpHX.pdf,11/12/2019
Dirección Provincial de Logística,Ministerio de Comunicación Pública,Subsecretaría de Planificación de Comunicación Gubernamental,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,"_,_","_,_",Femenino,,,
Unidad de Vínculos con los Municipios,Ministerio de Comunicación Pública,Subsecretaría de Planificación de Comunicación Gubernamental,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,"_,_","_,_",Femenino,,,
Dirección Provincial de Radio Provincia,Ministerio de Comunicación Pública,Subsecretaría de Planificación de Comunicación Gubernamental,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,FIGUERAS,Marcelo Jorge,Masculino,Resolución 5/2020 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/documentos/0zvdRpHX.pdf,11/12/2019
Dirección Provincial de Planificación y Gestión de Actos de Gobierno,Ministerio de Comunicación Pública,Subsecretaría de Planificación de Comunicación Gubernamental,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,MILILLO,Jessica Romina,Femenino,Resolución 128/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/128/441307,01/05/2024
Dirección Provincial de Prensa,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,"_,_","_,_",Femenino,,,
Dirección Provincial de Prensa y Difusión,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,ZIGLIANI,Mauro Ezequiel,Masculino,Resolución 5/2020 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/documentos/0zvdRpHX.pdf,11/12/2019
Unidad de Comunicación Institucional,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,"_,_","_,_",Femenino,,,
Unidad de Comunicación Digital,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,"_,_","_,_",Femenino,,,
Dirección Provincial de Producción y Diseño Audiovisual,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,"_,_","_,_",Femenino,,,
Dirección provincial de seguimiento de medios,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,NOGUEIRA,María Alejandra,Femenino,Resolución 128/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/128/441307,01/05/2024
"Dirección provincial de fotografía, imagen y diseño",Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,SANDA,Mariano,Masculino,Resolución 128/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/128/441307,01/05/2024
Dirección provincial de producción audiovisual,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,RUFINO,Esteban Iván,Masculino,Resolución 128/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/128/441307,01/05/2024
Dirección provincial de contenidos,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,SCILABRA,Matias Luciano,Masculino,Resolución 128/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/128/441307,01/05/2024
Dirección Provincial de comunicación digital,Ministerio de Comunicación Pública,Subsecretaría de Producción y Contenidos,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,LUIS,Yamila Inés,Femenino,Resolución 128/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/128/441307,01/05/2024
Dirección Provincial de Estrategia Publicitaria,Ministerio de Comunicación Pública,Subsecretaría de Coordinación de Medios,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,GRANILLO FERNANDEZ,Federico,Masculino,Resolución 80/2025 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2025/80/510719,14/04/2025
Dirección Provincial de Administración de Publicidad Oficial,Ministerio de Comunicación Pública,Subsecretaría de Coordinación de Medios,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,TIERNO, María del Rosario,Femenino,Resolución 224/2023 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2023/224/377283,01/08/2023
Unidad de control de gestión y modernización,Ministerio de Comunicación Pública,Subsecretaría de Control de Gestión y Comunicación Institucional ,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,D?ELIA,Gabriel,Masculino,Resolución 118/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/118/439454,01/06/2024
Dirección provincial de comunicación institucional ,Ministerio de Comunicación Pública,Subsecretaría de Control de Gestión y Comunicación Institucional ,Decreto 470/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/470/434224,21/05/2024,https://www.gba.gob.ar/comunicacion_publica,SOBRADO,José Manuel,Masculino,Resolución 129/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/129/441318,01/05/2024
Dirección de Compras y Contrataciones,Ministerio de Comunicación Pública,Dirección General de Administración,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,PAEZ ,María Fernanda,Femenino,Resolución 38/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/38/415125,01/02/2024
Dirección de Contabilidad y Presupuesto,Ministerio de Comunicación Pública,Dirección General de Administración,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,ISABELLA VALENZI ,Johana Solange,Femenino,Resolución 300/2023 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2023/300/397668,15/09/2023
Dirección de Servicios Técnico-Administrativos,Ministerio de Comunicación Pública,Dirección General de Administración,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,SUTIL,Roberto José ,Masculino,Resolución 6/2020 del Ministerio de Comunicación Pública,https://normas.gba.gov.ar/documentos/BO8MlRFy.pdf,01/01/2020
Dirección Delegada de la Dirección Provincial de Personal,Ministerio de Comunicación Pública,Dirección General de Administración,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,AZALDEGUI,Jorge Eduardo,Masculino,Resolución 103/2024 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/ar-b/resolucion/2024/103/435316,03/05/2024
Dirección de Informática,Ministerio de Comunicación Pública,Dirección General de Administración,Decreto 30/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/30/210198,22/01/2020,https://www.gba.gob.ar/comunicacion_publica,MIJALOVSKY,Héctor Daniel,Masculino,Resolución 102/2020 del Ministerio de Comunicación Pública,https://normas.gba.gob.ar/documentos/BdamwZIO.pdf,01/07/2020
