unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ente Administrador del Astillero Río Santiago,"Ministerio de Producción, Ciencia e Innovación Tecnológica","Ministerio de Producción, Ciencia e Innovación Tecnológica",Decreto 4538/1993,http://www.gob.gba.gov.ar/legislacion/legislacion/93-4538.html,21/01/1994,https://www.astillero.gba.gov.ar,_____,_,Masculino,,,
GERENCIA GENERAL,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Ente Administrador del Astillero Río Santiago,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,IBENDAHL ,Gonzalo Ariel Horacio,Masculino,Resolución 47/2021 del Ente Administrador del Astillero Río Santiago,https://normas.gba.gov.ar/ar-b/resolucion/2021/47/451232,22/04/2021
GERENCIA DE ASUNTOS JURÍDICOS,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Ente Administrador del Astillero Río Santiago,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,FORTUNATO,Horacio,Masculino,Resolución 95/2022 del Ente Administrador del Astillero Río Santiago,https://normas.gba.gov.ar/ar-b/resolucion/2022/95/451235,02/05/2022
GERENCIA DE AUDITORÍA Y CONTROL DE GESTIÓN,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Ente Administrador del Astillero Río Santiago,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,,,,,,
SUBGERENCIA GENERAL,"Ministerio de Producción, Ciencia e Innovación Tecnológica",GERENCIA GENERAL,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,,,,,,
GERENCIA DE PRODUCCIÒN,"Ministerio de Producción, Ciencia e Innovación Tecnológica",GERENCIA GENERAL,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,DOTTI,Rafael Aníbal,Masculino,Resolución 59/2020 del Ente Administrador del Astillero Río Santiago,https://normas.gba.gov.ar/ar-b/resolucion/2020/59/451236,01/10/2020
GERENCIA COMERCIAL,"Ministerio de Producción, Ciencia e Innovación Tecnológica",GERENCIA GENERAL,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,RUIZ,Emmanuel,Masculino,Resolución 5/2020 del Ente Administrador del Astillero Río Santiago,https://normas.gba.gov.ar/ar-b/resolucion/2020/5/451234,02/01/2020
GERENCIA TÉCNICA,"Ministerio de Producción, Ciencia e Innovación Tecnológica",GERENCIA GENERAL,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,VARELA,Jorge Leandro,Masculino,Resolución 322/2013 del Ente Administrador del Astillero Río Santiago,https://normas.gba.gov.ar/ar-b/resolucion/2013/322/451238,01/11/2013
GERENCIA DE ADMINISTRACIÓN,"Ministerio de Producción, Ciencia e Innovación Tecnológica",SUBGERENCIA GENERAL,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,SANCHEZ,Eladio,Masculino,Resolución 44/2024 del Ente Administrador del Astillero Río Santiago,https://normas.gba.gov.ar/ar-b/resolucion/2024/44/451237,01/02/2024
GERENCIA DE RECURSOS HUMANOS,"Ministerio de Producción, Ciencia e Innovación Tecnológica",SUBGERENCIA GENERAL,Decreto 962/1999,https://normas.gba.gob.ar/ar-b/decreto/1999/962/60740,08/06/1999,http://www.astillero.gba.gov.ar/,ANTUNEZ,Victor Martín,Masculino,Resolución 26/2024 del Ente Administrador del Astillero Río Santiago,https://normas.gba.gov.ar/ar-b/resolucion/2024/26/451233,10/01/2024
