unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Tribunal Fiscal de Apelación,Ministerio de Economía,,Ley 7603,http://www.gob.gba.gov.ar/legislacion/legislacion/l-7603.html,23/04/1970,http://www.tfaba.gov.ar,CARBALLAL ,Ángel Carlos,Masculino,,,
SALA I,Ministerio de Economía,Tribunal Fiscal de Apelación,Decreto 1434/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1434/450460,,http://www.tfaba.gov.ar/,ROMERO,María Verónica,Femenino,Decreto 679/2012,https://normas.gba.gob.ar/ar-b/decreto/2012/679/36189,02/05/2012
SALA II,Ministerio de Economía,Tribunal Fiscal de Apelación,Decreto 1434/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1434/450460,,http://www.tfaba.gov.ar/,MAGNETTO,María Adriana,Femenino,Decreto 519/2012,https://normas.gba.gob.ar/ar-b/decreto/2012/519/33396,01/02/2012
SALA III,Ministerio de Economía,Tribunal Fiscal de Apelación,Decreto 1434/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1434/450460,,http://www.tfaba.gov.ar/,SALINAS GIUSTI,Rodrigo Hernán,Masculino,Resolución 64/2026 del Ministerio de Economía,https://normas.gba.gob.ar/ar-b/resolucion/2026/64/572007,02/01/2026
UNIDAD ASISTENCIA A LA GESTIÓN DE PRESIDENCIA,Ministerio de Economía,Tribunal Fiscal de Apelación,Decreto 1434/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1434/450460,,http://www.tfaba.gov.ar/,,,,,,
PROSECRETARÍA I,Ministerio de Economía,SALA I,Decreto 1434/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1434/450460,,http://www.tfaba.gov.ar/,,,,,,
PROSECRETARÍA II,Ministerio de Economía,SALA II,Decreto 1434/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1434/450460,,http://www.tfaba.gov.ar/,,,,,,
PROSECRETARÍA III,Ministerio de Economía,SALA III,Decreto 1434/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1434/450460,,http://www.tfaba.gov.ar/,MANATTINI,Evangelina,Femenino,Resolución 64/2026 del Ministerio de Economía,https://normas.gba.gob.ar/ar-b/resolucion/2026/64/572007,02/01/2026
