unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
COMITÉ DE CUENCA DEL RÍO RECONQUISTA (COMIREC),Ministerio de Infraestructura y Servicios Públicos,Subsecretaría de Recursos Hídricos,Ley 12653,https://normas.gba.gob.ar/ar-b/ley/2001/12653/4207,29/03/2001,https://www.gba.gob.ar/comirec,LARRACHE,Daniel Guillermo,Masculino,Decreto 2641/2024,https://normas.gba.gov.ar/ar-b/decreto/2024/2641/469278,31/10/2024
Dirección General Ejecutiva (COMIREC),Ministerio de Infraestructura y Servicios Públicos,COMITÉ DE CUENCA DEL RÍO RECONQUISTA (COMIREC),Ley 12653,https://normas.gba.gob.ar/ar-b/ley/2001/12653/4207,29/03/2001,https://www.gba.gob.ar/comirec,MONDELO,Virginia,Femenino,Decreto 85/2020,https://normas.gba.gov.ar/documentos/xAm3veCR.pdf,06/01/2020
UNIDAD JURÍDICO-LEGAL,Ministerio de Infraestructura y Servicios Públicos,COMITÉ DE CUENCA DEL RÍO RECONQUISTA (COMIREC),Resolución 3/2009 del Comité de Cuenca del Río Reconquista,https://normas.gba.gob.ar/ar-b/resolucion/2009/3/199275,20/08/2009,https://www.gba.gob.ar/comirec,SANCHEZ ,Guido José María,Masculino,Decreto 671/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/671/358251,01/03/2023
PRESIDENCIA (COMIREC),Ministerio de Infraestructura y Servicios Públicos,COMITÉ DE CUENCA DEL RÍO RECONQUISTA (COMIREC),Ley 12653,https://normas.gba.gob.ar/ar-b/ley/2001/12653/4207,29/03/2001,https://www.gba.gob.ar/comirec,"_,_","_,_",Femenino,,,
DIRECTORIO,Ministerio de Infraestructura y Servicios Públicos,COMITÉ DE CUENCA DEL RÍO RECONQUISTA (COMIREC),Ley 12653,https://normas.gba.gob.ar/ar-b/ley/2001/12653/4207,29/03/2001,https://www.gba.gob.ar/comirec,,,,,,
Consejo Consultivo Honorario,Ministerio de Infraestructura y Servicios Públicos,COMITÉ DE CUENCA DEL RÍO RECONQUISTA (COMIREC),Decreto 1181/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/1181/515522,05/06/2025,https://www.gba.gob.ar/comirec,,,,,,
UNIDAD DE PLANIFICACIÓN DE SANEAMIENTO DE LA CUENCA,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMIREC),Resolución 3/2009 del Comité de Cuenca del Río Reconquista,https://normas.gba.gob.ar/ar-b/resolucion/2009/3/199275,20/08/2009,https://www.gba.gob.ar/comirec,VAHNOVAN,Pablo Gustavo,Masculino,Decreto 269/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/269/236744,01/01/2021
UNIDAD DE GESTIÓN INTEGRAL DEL RECURSO HÍDRICO,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMIREC),Resolución 3/2009 del Comité de Cuenca del Río Reconquista,https://normas.gba.gob.ar/ar-b/resolucion/2009/3/199275,20/08/2009,https://www.gba.gob.ar/comirec,MAZZUCCHELLI,María Gabriela,Femenino,Decreto 125/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/125/211209,06/01/2020
UNIDAD ADMINISTRATIVA Y CONTABLE,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMIREC),Resolución 3/2009 del Comité de Cuenca del Río Reconquista,https://normas.gba.gob.ar/ar-b/resolucion/2009/3/199275,20/08/2009,https://www.gba.gob.ar/comirec,GONZALEZ ORIA ,Sebastián Carlos,Masculino,Decreto 125/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/125/211209,06/01/2020
UNIDAD DE RELACIONES INSTITUCIONALES,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMIREC),Resolución 3/2009 del Comité de Cuenca del Río Reconquista,https://normas.gba.gob.ar/ar-b/resolucion/2009/3/199275,20/08/2009,https://www.gba.gob.ar/comirec,SERVERA ,Horacio Rubén,Masculino,Decreto 269/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/269/236744,01/01/2021
Representación del Ministerio de Infraestructura y Servicios Públicos,Ministerio de Infraestructura y Servicios Públicos,DIRECTORIO,Ley 12653,https://normas.gba.gob.ar/ar-b/ley/2001/12653/4207,29/03/2001,https://www.gba.gob.ar/comirec,DEPETRI,Edgardo Fernando,Masculino,Decreto 293/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/293/425015,01/01/2024
Representación del Ministerio de Gobierno,Ministerio de Infraestructura y Servicios Públicos,DIRECTORIO,Ley 12653,https://normas.gba.gob.ar/ar-b/ley/2001/12653/4207,29/03/2001,https://www.gba.gob.ar/comirec,PARRA,María José,Femenino,Decreto 2641/2024,https://normas.gba.gov.ar/ar-b/decreto/2024/2641/469278,31/10/2024
Representación del Ministerio de Ambiente,Ministerio de Infraestructura y Servicios Públicos,DIRECTORIO,Ley 12653,https://normas.gba.gob.ar/ar-b/ley/2001/12653/4207,29/03/2001,https://www.gba.gob.ar/comirec,MELITA,María Silvina,Femenino,Decreto 250/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/250/496410,01/01/2025
