unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Tesorería General de la Provincia,Tesorería General de la Provincia,,Ley 13767,https://normas.gba.gov.ar/documentos/BMy1lFqB.html,17/12/2007,https://www.tesoreria.gba.gov.ar/,JACOBY ,David René,Masculino,Decreto 93/2020,https://normas.gba.gob.ar/documentos/BK3py3ho.html,20/02/2020
Subtesorería General,Tesorería General de la Provincia,Tesorería General de la Provincia,Ley 13767,https://normas.gba.gov.ar/documentos/BMy1lFqB.html,17/12/2007,https://www.tesoreria.gba.gov.ar/,FERNANDEZ,Facundo José,Masculino,Decreto 60/2020,https://normas.gba.gov.ar/documentos/Vroqk5fG.pdf,01/02/2016
Secretaría General,Tesorería General de la Provincia,Subtesorería General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,BRAVO GRANADA,Rubén,Masculino,Decreto 77/2021,https://normas.gba.gov.ar/documentos/xa9Y9AH3.pdf,01/01/2021
Dirección General de Planificación Financiera,Tesorería General de la Provincia,Subtesorería General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,VAZQUEZ,María Silvina,Femenino,Decreto 155/2021,https://normas.gba.gov.ar/documentos/VmR73vSl.html,01/01/2021
Dirección General de Supervisión Técnica,Tesorería General de la Provincia,Subtesorería General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,ROSSI,María Jimena,Femenino,Decreto 156/2021,https://normas.gba.gov.ar/documentos/05pZGNh5.html,01/01/2021
Dirección General de Administración,Tesorería General de la Provincia,Secretaría General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,GONZALEZ,Fabián Nicolás,Masculino,Decreto 398/2026,https://normas.gba.gob.ar/ar-b/decreto/2026/398/580691,01/04/2026
Dirección General de Planificación Estratégica y Rendiciones,Tesorería General de la Provincia,Secretaría General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,CARLE,María Paula,Femenino,Decreto 393/2026,https://normas.gba.gob.ar/ar-b/decreto/2026/393/582160,01/11/2025
Dirección General de Pagos,Tesorería General de la Provincia,Secretaría General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,GRAFFI,Bárbara,Femenino,Decreto 855/2022,https://normas.gba.gob.ar/documentos/VG81plfk.pdf,01/04/2022
Dirección General Impositiva y Afectaciones Patrimoniales,Tesorería General de la Provincia,Secretaría General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,TOLEDO,Susana Beatriz,Femenino,Decreto 236/2022,https://normas.gba.gob.ar/documentos/xkd8N8HR.pdf,01/01/2022
Dirección General de Sistemas,Tesorería General de la Provincia,Secretaría General,Resolución 124/2021 de la Tesorería General,https://normas.gba.gov.ar/documentos/xbMXd8Sp.pdf,15/12/2021,https://www.tesoreria.gba.gov.ar/,LUENGO,GUSTAVO ARIEL,Masculino,Decreto 236/2022,https://normas.gba.gob.ar/documentos/xkd8N8HR.pdf,01/01/2022
