unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Unidad “Observatorio Político Electoral” (OPE),Unidad “Observatorio Político Electoral” (OPE),Gobernación de la Provincia de Buenos Aires,Decreto 816/2021,https://normas.gba.gov.ar/documentos/0vQl5EUz.pdf,28/09/2021,"",GARCIA, María Teresa,Femenino,Decreto 862/2021,https://normas.gba.gov.ar/documentos/Bo2d1GUl.pdf,24/09/2021
Coordinación Ejecutiva,Unidad “Observatorio Político Electoral” (OPE),Unidad “Observatorio Político Electoral” (OPE),Decreto 816/2021,https://normas.gba.gov.ar/documentos/0vQl5EUz.pdf,28/09/2021,"",GONZALEZ,José Manuel,Masculino,Decreto 1085/2021,https://normas.gba.gov.ar/documentos/084Gqrcm.pdf,01/11/2021
Dirección de Gestión de Información,Unidad “Observatorio Político Electoral” (OPE),Coordinación Ejecutiva,Decreto 816/2021,https://normas.gba.gov.ar/documentos/0vQl5EUz.pdf,28/09/2021,"",BINDER,Arturo,Masculino,Decreto 1085/2021,https://normas.gba.gov.ar/documentos/084Gqrcm.pdf,01/11/2021
Dirección de Investigación y Análisis Político Electoral,Unidad “Observatorio Político Electoral” (OPE),Coordinación Ejecutiva,Decreto 816/2021,https://normas.gba.gov.ar/documentos/0vQl5EUz.pdf,28/09/2021,"",ZARATE,Luciana Soledad ,Femenino,Decreto 1085/2021,https://normas.gba.gov.ar/documentos/084Gqrcm.pdf,01/11/2021
