unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Patronato de Liberados Bonaerense,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,HNATIUK ,Aníbal Rolando ,Masculino,Decreto 58/2020,https://normas.gba.gov.ar/documentos/BK3p7ACn.pdf,01/01/2020
"DIRECCIÓN PROVINCIAL DE PLANIFICACIÓN, COORDINACIÓN Y CONTROL DE GESTIÓN",Ministerio de Justicia y Derechos Humanos,Patronato de Liberados Bonaerense,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,FERRERO VERZULLI,Ada,Femenino,Resolución 28/2025 del Patronato de Liberados,https://normas.gba.gob.ar/ar-b/resolucion/2025/28/494469,01/01/2025
DIRECCIÓN PROVINCIAL DE EJECUCIÓN PENAL EN LIBERTAD,Ministerio de Justicia y Derechos Humanos,Patronato de Liberados Bonaerense,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,RODRIGUEZ,Ariel Ernesto,Masculino,Decreto 330/2020,https://normas.gba.gob.ar/documentos/0P36ort7.pdf,01/01/2020
DIRECCIÓN PROVINCIAL DE REGIONES,Ministerio de Justicia y Derechos Humanos,Patronato de Liberados Bonaerense,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,PLANTAMURA,Joaquín,Masculino,Resolución 224/2025 del Patronato de Liberados Bonaerense,https://normas.gba.gob.ar/ar-b/resolucion/2025/224/529587,11/07/2025
DIRECCIÓN GENERAL DE ADMINISTRACIÓN,Ministerio de Justicia y Derechos Humanos,Patronato de Liberados Bonaerense,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,CASTILLO,Emanuel Norberto,Masculino,Decreto 226/2022,https://normas.gba.gob.ar/documentos/04Xeg4fN.pdf,18/01/2022
DIRECCIÓN DE COORDINACIÓN Y COMUNICACIÓN INSTITUCIONAL,Ministerio de Justicia y Derechos Humanos,"DIRECCIÓN PROVINCIAL DE PLANIFICACIÓN, COORDINACIÓN Y CONTROL DE GESTIÓN",Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,GORGONE MACHELLO,Malen Luz,Femenino,Decreto 330/2020,https://normas.gba.gob.ar/documentos/0P36ort7.pdf,01/02/2020
"DIRECCIÓN DE EVALUACIÓN, INVESTIGACIÓN Y CAPACITACIÓN",Ministerio de Justicia y Derechos Humanos,"DIRECCIÓN PROVINCIAL DE PLANIFICACIÓN, COORDINACIÓN Y CONTROL DE GESTIÓN",Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,RUBINO,María Agustina,Femenino,Decreto 2290/2022,https://normas.gba.gob.ar/documentos/VG8ZO9sk.pdf,06/09/2022
DIRECCIÓN DE PROGRAMAS Y TRATAMIENTO EN EL MEDIO LIBRE GRAN BUENOS AIRES,Ministerio de Justicia y Derechos Humanos,DIRECCIÓN PROVINCIAL DE EJECUCIÓN PENAL EN LIBERTAD,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,YEBRA,Laura Pilar,Femenino,Decreto 330/2020,https://normas.gba.gob.ar/documentos/0P36ort7.pdf,01/01/2020
DIRECCIÓN DE PROGRAMAS Y TRATAMIENTO EN EL MEDIO LIBRE INTERIOR DE LA PROVINCIA DE BUENOS AIRES,Ministerio de Justicia y Derechos Humanos,DIRECCIÓN PROVINCIAL DE EJECUCIÓN PENAL EN LIBERTAD,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,_____,_,Masculino,,,
DIRECCIÓN DE SISTEMAS INFORMÁTICOS,Ministerio de Justicia y Derechos Humanos,DIRECCIÓN PROVINCIAL DE EJECUCIÓN PENAL EN LIBERTAD,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,ZAPPA,Juan Damián,Masculino,Decreto 959/2021,https://normas.gba.gov.ar/documentos/BLqMbmTM.pdf,03/09/2021
