unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Corporación de Fomento del Valle del Río Colorado (CORFO),Ministerio de Desarrollo Agrario,Ministerio de Desarrollo Agrario,Decreto-ley 7948/1972,https://normas.gba.gob.ar/documentos/P0zwbuXx.pdf,22/11/1972,https://www.gba.gob.ar/desarrollo_agrario,VERGARA,JOSÉ RAMIRO,Masculino,Decreto 947/2020,https://normas.gba.gob.ar/documentos/B7OdgKUK.pdf,23/10/2020
GERENCIA TÉCNICA,Ministerio de Desarrollo Agrario,Corporación de Fomento del Valle del Río Colorado (CORFO),Decreto-ley 7948/1972,https://normas.gba.gob.ar/documentos/P0zwbuXx.pdf,22/11/1972,https://www.gba.gob.ar/desarrollo_agrario,MONJE PINILLA,Miguel Ángel ,Masculino,Resolución 45/2024 del Corporacion de Fomento Río Colorado (CORFO),https://normas.gba.gob.ar/ar-b/resolucion/2024/45/453040,01/01/2024
GERENCIA ADMINISTRATIVA,Ministerio de Desarrollo Agrario,Corporación de Fomento del Valle del Río Colorado (CORFO),Decreto-ley 7948/1972,https://normas.gba.gob.ar/documentos/P0zwbuXx.pdf,22/11/1972,https://www.gba.gob.ar/desarrollo_agrario,LOZANO,Juan Pablo,Masculino,Decreto 642/2022,https://normas.gba.gob.ar/documentos/B7L94KIK.pdf,25/02/2022
Área Planeamiento,Ministerio de Desarrollo Agrario,Corporación de Fomento del Valle del Río Colorado (CORFO),Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Área Servicio de Equipos,Ministerio de Desarrollo Agrario,GERENCIA TÉCNICA,decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,AGUIRRE,Nadia Soledad ,Femenino,Resolución 45/2024 del Corporacion de Fomento Río Colorado (CORFO),https://normas.gba.gob.ar/ar-b/resolucion/2024/45/453040,01/01/2024
Intendencias de Riego,Ministerio de Desarrollo Agrario,GERENCIA TÉCNICA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Producción Agropecuaria,Ministerio de Desarrollo Agrario,GERENCIA TÉCNICA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/, DOTTA,Juan Carlos,Masculino,Resolución 110/2024 del Corporacion de Fomento Río Colorado (CORFO),https://normas.gba.gob.ar/ar-b/resolucion/2024/110/480509,01/11/2024
Suelos,Ministerio de Desarrollo Agrario,GERENCIA TÉCNICA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Industrias,Ministerio de Desarrollo Agrario,GERENCIA TÉCNICA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Obras,Ministerio de Desarrollo Agrario,GERENCIA TÉCNICA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Estudios y Proyectos,Ministerio de Desarrollo Agrario,GERENCIA TÉCNICA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Área Administrativa,Ministerio de Desarrollo Agrario,GERENCIA ADMINISTRATIVA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Área Créditos,Ministerio de Desarrollo Agrario,GERENCIA ADMINISTRATIVA,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
Intendencia de Riego de Pedro Luro,Ministerio de Desarrollo Agrario,Intendencias de Riego,decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar,HERRERO ,Fernando Daniel ,Masculino,decreto 761/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/761/362105,01/01/2023
Intendencia de riego de Villalonga,Ministerio de Desarrollo Agrario,Intendencias de Riego,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,PERCAZ,Juan Ignacio Lorenzo,Masculino,Resolución 110/2024 del Corporacion de Fomento Río Colorado (CORFO),https://normas.gba.gob.ar/ar-b/resolucion/2024/110/480509,01/11/2024
Intendencia de riego de Mayor Buratovich,Ministerio de Desarrollo Agrario,Intendencias de Riego,Decreto 213/1977,https://normas.gba.gob.ar/ar-b/decreto/1977/213/239610,,https://corfo.gob.ar/,,,,,,
