unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Organismo Provincial de la Niñez y Adolescencia,Ministerio de Desarrollo de la Comunidad,Ministerio de Desarrollo de la Comunidad,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.snya.gba.gob.ar/,CACERES,Nancy Andrea,Femenino,Decreto 346/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/346/427010,01/04/2024
SUBSECRETARÍA DE PROMOCIÓN Y PROTECCIÓN DE DERECHOS ,Ministerio de Desarrollo de la Comunidad,Organismo Provincial de la Niñez y Adolescencia,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,IAFOLLA CARDOS,María Agustina,Femenino,Decreto 346/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/346/427010,01/04/2024
SUBSECRETARÍA DE RESPONSABILIDAD PENAL JUVENIL,Ministerio de Desarrollo de la Comunidad,Organismo Provincial de la Niñez y Adolescencia,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,ZERILLO,José Luis,Masculino,Decreto 576/2026,https://normas.gba.gob.ar/ar-b/decreto/2026/576/593085,01/04/2026
DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Ministerio de Desarrollo de la Comunidad,Organismo Provincial de la Niñez y Adolescencia,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,_____,_,Masculino,,,
DIRECCIÓN PROVINCIAL DE EDUCACIÓN,Ministerio de Desarrollo de la Comunidad,Organismo Provincial de la Niñez y Adolescencia,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,FARIAS,María Tatiana,Femenino,Decreto 2033/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/2033/396806,20/07/2023
DIRECCIÓN PROVINCIAL DE ARTICULACIÓN INTERINSTITUCIONAL,Ministerio de Desarrollo de la Comunidad,Organismo Provincial de la Niñez y Adolescencia,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,URMAN,Germán Leonel,Masculino,Resolución 980/2024 de la Dirección Ejecutiva del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2024/980/456196,01/04/2024
Consejo Directivo del Programa  Entramados,Ministerio de Desarrollo de la Comunidad,Organismo Provincial de la Niñez y Adolescencia,Decreto 640/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/640/506169,14/04/2025,https://www.snya.gba.gob.ar/,,,,,,
Unidad de Coordinación del Programa Entramados,Ministerio de Desarrollo de la Comunidad,Organismo Provincial de la Niñez y Adolescencia,Decreto 640/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/640/506169,14/04/2025,https://www.snya.gba.gob.ar/,GAMALLO,Leandro Aníbal,Masculino,Resolución 906/2025 de la Dirección Ejecutiva del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2025/906/555267,21/04/2025
"DIRECCIÓN PROVINCIAL DE PROMOCIÓN DE DERECHOS DE NIÑAS, NIÑOS Y ADOLESCENTES",Ministerio de Desarrollo de la Comunidad,SUBSECRETARÍA DE PROMOCIÓN Y PROTECCIÓN DE DERECHOS ,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,_____,_,Masculino,,,
"DIRECCIÓN PROVINCIAL DE PROTECCIÓN DE DERECHOS DE NIÑAS, NIÑOS Y ADOLESCENTES",Ministerio de Desarrollo de la Comunidad,SUBSECRETARÍA DE PROMOCIÓN Y PROTECCIÓN DE DERECHOS ,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,BARBERO,Rocío Belén,Femenino,Resolución 982/2025 de la Dirección Ejecutiva del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2025/982/555299,20/05/2025
DIRECCIÓN PROVINCIAL DE COORDINACIÓN DE SERVICIOS ZONALES Y LOCALES,Ministerio de Desarrollo de la Comunidad,SUBSECRETARÍA DE PROMOCIÓN Y PROTECCIÓN DE DERECHOS ,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,MARTINEZ,Eduardo Ismael,Masculino,Resolución 1436/2024 del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2024/1436/474782,01/08/2024
DIRECCIÓN PROVINCIAL DE PROGRAMAS PENALES JUVENILES,Ministerio de Desarrollo de la Comunidad,SUBSECRETARÍA DE RESPONSABILIDAD PENAL JUVENIL,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,VALVA,Julio César ,Masculino,Decreto 2238/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/2238/401252,01/02/2023
DIRECCIÓN PROVINCIAL DE ESTABLECIMIENTOS PENALES JUVENILES,Ministerio de Desarrollo de la Comunidad,SUBSECRETARÍA DE RESPONSABILIDAD PENAL JUVENIL,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,OTERO,Claudio Gabriel,Masculino,Resolución 774/2025 de la Dirección Ejecutiva del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2025/774/555027,05/02/2025
DIRECCIÓN DE CENTROS DE RECEPCIÓN,Ministerio de Desarrollo de la Comunidad,SUBSECRETARÍA DE RESPONSABILIDAD PENAL JUVENIL,Decreto 3396/2024,https://normas.gba.gov.ar/ar-b/decreto/2024/3396/477821,17/12/2024,https://www.snya.gba.gob.ar/,REBAIROLS,Juan Sebastián,Masculino,Decreto 1629/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1629/385397,01/07/2023
DIRECCIÓN DE CONTABILIDAD,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,OLIVERA,Karina Vanesa,Femenino,Decreto 369/2022,https://normas.gba.gob.ar/documentos/VNrGQPF6.pdf,27/01/2022
DIRECCIÓN DE COMPRAS Y CONTRATACIONES,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,"",DOMINGUEZ,Oscar Francisco,Masculino,Decreto 697/2022,https://normas.gba.gob.ar/documentos/Bl6ZD7cY.pdf,01/03/2022
DIRECCIÓN DE SERVICIOS TÉCNICOS ADMINISTRATIVOS,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,_____,_,Masculino,,,
DIRECCIÓN DE INFORMÁTICA,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,,,,,,
DIRECCIÓN DE SERVICIOS AUXILIARES,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,_____,_,Masculino,,,
DIRECCIÓN DE INFRAESTRUCTURA (OPNYA),Ministerio de Desarrollo de la Comunidad,DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,BARES,Sebastián,Masculino,Resolución 948/2026 de la Dirección Ejecutiva del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2026/948/590882,01/05/2026
DIRECCIÓN DELEGADA DE LA DIRECCIÓN PROVINCIAL DE PERSONAL,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN GENERAL DE ADMINISTRACIÓN (OPNYA),Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,BENITEZ,Lucas ,Masculino,Resolución 980/2024 de la Dirección Ejecutiva del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2024/980/456196,01/04/2024
DIRECCIÓN DE SERVICIOS EDUCATIVOS,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN PROVINCIAL DE EDUCACIÓN,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,_____,_,Masculino,,,
DIRECCIÓN DE FORMACIÓN Y CAPACITACIÓN DEL PERSONAL,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN PROVINCIAL DE EDUCACIÓN,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,CHINCHILLA,Julieta ,Femenino,decreto 715/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/715/359302,01/05/2023
"DIRECCIÓN DE SALUD INTERINSTITUCIONAL DE NIÑAS, NIÑOS Y ADOLESCENTES",Ministerio de Desarrollo de la Comunidad,DIRECCIÓN PROVINCIAL DE ARTICULACIÓN INTERINSTITUCIONAL,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,LEIVA FILLOL,Gisela,Femenino,Resolución 1383/2024 del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2024/1383/474707Resolución 1383/2024 ,01/07/2024
DIRECCIÓN DE POLÍTICAS DE GÉNERO Y DIVERSIDAD PARA LAS NIÑECES Y ADOLESCENCIA,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN PROVINCIAL DE ARTICULACIÓN INTERINSTITUCIONAL,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,OJEDA,Gimena Manuela,Femenino,Resolución 1401/2024 del Organismo Provincial de la Niñez y Adolescencia,https://normas.gba.gob.ar/ar-b/resolucion/2024/1401/474780,01/08/2024
DIRECCIÓN DE CONTROL DE GESTIÓN INSTITUCIONAL,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN PROVINCIAL DE ARTICULACIÓN INTERINSTITUCIONAL,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,AGUILAR PEDALINO,Alejandra Beatriz,Femenino,Decreto 328/2022,https://normas.gba.gob.ar/documentos/0843nbsm.pdf,27/01/2022
DIRECCIÓN DE RECURSOS DE EGRESO,Ministerio de Desarrollo de la Comunidad,DIRECCIÓN PROVINCIAL DE ARTICULACIÓN INTERINSTITUCIONAL,Decreto 53/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/53/276532,25/01/2022,https://www.snya.gba.gob.ar/,"_,_","_,_",Femenino,,,
