unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Seguridad,Ministerio de Seguridad,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,http://www.mseg.gba.gov.ar/,ALONSO,Eduardo Javier,Masculino,Decreto 14 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/14b/403257,
"Subsecretaría Técnica, Administrativa y Legal",Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,https://www.mseg.gba.gov.ar/,HERRERA,Carlos Daniel,Masculino,Decreto 2855/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/2855/550359,01/11/2025
Subsecretaría de Coordinación y Logística Operativa,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,RODRIGUEZ,CRISTIN ,Masculino,Decreto 56/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/56/411405,13/12/2023
Subsecretaría de Participación Ciudadana,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,MARCOS,Solange,Femenino,Decreto 1308/2022,https://normas.gba.gob.ar/documentos/VJ9QvYTm.pdf,01/08/2022
Subsecretaría de Formación y Desarrollo Profesional,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 2369/2022,https://normas.gba.gob.ar/documentos/0XRN9bcd.pdf,11/01/2023,http://www.mseg.gba.gov.ar/,PACHO,Ignacio Hernán,Masculino,Decreto 92/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/92/413976,13/12/2023
Subsecretaría de Emergencias,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,SALMAN,Alicia Marcela,Femenino,Decreto 130/2020,https://normas.gba.gob.ar/documentos/0ZARY8hE.html,11/12/2019
SUBSECRETARÍA DE ARTICULACIÓN INSTITUCIONAL PARA LA SEGURIDAD,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,APARICIO,Eduardo Ricardo,Masculino,Decreto 55/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/55/411403,01/01/2024
Auditoría General de Asuntos Internos,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 2369/2022,https://normas.gba.gob.ar/documentos/0XRN9bcd.pdf,11/01/2023,http://www.mseg.gba.gov.ar/,DIAZ ,Darío Ricardo,Masculino,Decreto 130/2020,https://normas.gba.gob.ar/documentos/0ZARY8hE.html,11/12/2019
Unidad de Coordinación de Políticas de Seguridad,Ministerio de Seguridad,Ministerio de Seguridad,,,,http://www.mseg.gba.gov.ar/,SCHUMACHER,Herman Antonio,Masculino,Decreto 775/2020,https://normas.gba.gob.ar/documentos/BdaD78CO.pdf,01/02/2020
Agencia de Prevención de Violencia en el deporte (A.Pre.Vi.De.),Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,CIMADEVILA,Guillermo,Masculino,Decreto 140/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/140/414805,01/01/2024
Dirección Provincial de Análisis Informativo,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,VON SCHMELING,Marcelo,Masculino,Resolución 963/2020 del Ministerio de Seguridad,https://normas.gba.gob.ar/documentos/VJJ2P5Cm.pdf,01/08/2020
Unidad Ministro,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,NAZABAL,Néstor Hugo,Masculino,Resolución 1440/2025 del Ministerio de Seguridad,https://normas.gba.gob.ar/ar-b/resolucion/2025/1440/525875,01/07/2025
Subsecretaría de Planificación e Inteligencia Criminal,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,FERNANDEZ CIATTI,Sebastián,Masculino,Decreto 130/2020,https://normas.gba.gob.ar/documentos/0ZARY8hE.html,11/12/2019
POLICÍA DE LA PROVINCIA DE BUENOS AIRES LEY N° 13982,Ministerio de Seguridad,Ministerio de Seguridad,Ley 13982,https://normas.gba.gov.ar/documentos/xDZ3rUKV.pdf,27/04/2009,http://www.mseg.gba.gov.ar/,,,,,,
SUBSECRETARÍA DE FISCALIZACIÓN Y CONTROL POLICIAL DEL AMBA Y CAPITAL,Ministerio de Seguridad,Ministerio de Seguridad,Decreto 275/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/275/238545,17/05/2021,http://www.mseg.gba.gov.ar/,ESCUDERO,Andrés Horacio,Masculino,Decreto 80/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/80/412046,13/12/2023
