unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
INSTITUTO DE PREVISIÓN SOCIAL (IPS),Ministerio de Trabajo,Ministerio de Trabajo,Ley 8587,https://normas.gba.gob.ar/documentos/0PLGkIA0.html,12/01/1976,https://www.ips.gba.gob.ar/,MORETTI,Marina Alejandra,Femenino,Decreto 3227/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/3227/557281,05/01/2026
PRESIDENCIA (IPS),Ministerio de Trabajo,INSTITUTO DE PREVISIÓN SOCIAL (IPS),Ley 8587,https://normas.gba.gob.ar/documentos/0PLGkIA0.html,12/01/1976,http://www.ips.gba.gov.ar/,"_,_","_,_",Femenino,,,
Vicepresidencia (IPS),Ministerio de Trabajo,INSTITUTO DE PREVISIÓN SOCIAL (IPS),,,,https://www.ips.gba.gob.ar/,VELEZ,Mailén ,Femenino,Resolución 9/2026 del Instituto de Previsión Social (IPS),https://normas.gba.gob.ar/ar-b/resolucion/2026/9/558734,
DIRECCIÓN DE PLANIFICACIÓN Y CONTROL DE GESTIÓN,Ministerio de Trabajo,PRESIDENCIA (IPS),Decreto 1778/2005,https://normas.gba.gob.ar/documentos/08gO6cZV.html,24/10/2005,http://www.ips.gba.gov.ar/,_____,_,Masculino,,,
Dirección General de Administración,Ministerio de Trabajo,PRESIDENCIA (IPS),Decreto 1778/2005,https://normas.gba.gob.ar/documentos/08gO6cZV.html,24/10/2005,http://www.ips.gba.gov.ar/,,,,,,
Coordinación,Ministerio de Trabajo,PRESIDENCIA (IPS),Decreto 2692/2008,https://normas.gba.gob.ar/documentos/VWDO5hY0.pdf,06/02/2009,http://www.ips.gba.gov.ar/,_____,_,Masculino,,,
Dirección General de Administración (IPS),Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,http://www.ips.gba.gov.ar,SARRA,Carmen,Femenino,Decreto 725/2014,https://normas.gba.gob.ar/documentos/0X3QGidV.pdf,01/04/2014
DIRECCIÓN DE GESTIÓN INSTITUCIONAL,Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,CAVALIERE ,Griselda Elisabet,Femenino,Decreto 1246/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1246/372148,28/02/2023
DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL,Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,SOSA ACHA,LAUTARO,Masculino,Decreto 1072/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1072/367531,01/06/2023
 Dirección Provincial de Prestaciones,Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,http://www.ips.gba.gov.ar/,PEDRETTI,Marcos Alejandro,Masculino,Decreto 784/2022,https://normas.gba.gob.ar/documentos/0nJ9yrfr.pdf,04/04/2022
DIRECCIÓN DE PRENSA,Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,PROVENZA,Diego Pablo ,Masculino,DECRETO 1050/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1050/366692,28/02/2023
Dirección Provincial de Territorialización,Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,NATALINI,Damián Alexis,Masculino,DECRETO 1175/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1175/371194,01/03/2023
DIRECCIÓN PROVINCIAL DE INFORMÁTICA Y TECNOLOGÍAS PREVISIONALES,Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,BAILLIEAU,Sebastián Daniel,Masculino,DECRETO 771/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/771/362318,15/02/2023
"DIRECCIÓN ADMINISTRATIVA, TÉCNICA Y LEGAL",Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,FONTANA MARINI,Mariana Beatriz,Femenino,DECRETO 1050/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1050/366692,15/02/2023
DIRECCIÓN DE PLANEAMIENTO,Ministerio de Trabajo,Vicepresidencia (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,OCAMPO,Silvia Edith,Femenino,DECRETO 1050/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1050/366692,15/02/2023
Directorio,Ministerio de Trabajo,Vicepresidencia (IPS),Ley 8587,https://normas.gba.gob.ar/documentos/0PLGkIA0.html,12/01/1976,https://www.ips.gba.gob.ar/,,,,,,
Dirección de Compras y Contrataciones,Ministerio de Trabajo,Dirección General de Administración (IPS),Decreto 224/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/224/344930,28/02/2023,https://www.ips.gba.gob.ar/,COMPER ,Enrique ,Masculino,DECRETO 1050/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/1050/366692,28/02/2023
