unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
"Caja de Retiros, Jubilaciones y Pensiones (Directorio)",Ministerio de Seguridad,Ministerio de Seguridad,Ley 13236,https://normas.gba.gob.ar/documentos/xAzabfRB.pdf,15/10/2004,https://www.cajapolicia.gob.ar/,LANGONE,Carlos Enrique,Masculino,Decreto 69/2018,https://normas.gba.gob.ar/ar-b/decreto/2018/69/172286,
Presidencia,Ministerio de Seguridad,"Caja de Retiros, Jubilaciones y Pensiones (Directorio)",Ley 13236,https://normas.gba.gob.ar/documentos/xAzabfRB.pdf,15/10/2004,http://www.cajapolgba.org.ar/,"_,_","_,_",Femenino,,,
Vicepresidencia,Ministerio de Seguridad,"Caja de Retiros, Jubilaciones y Pensiones (Directorio)",Ley 13236,https://normas.gba.gob.ar/documentos/xAzabfRB.pdf,15/10/2004,http://www.cajapolgba.org.ar/,GIMENEZ,Ricardo,Masculino,Decreto 614/2022,https://normas.gba.gob.ar/documentos/xpq4zGHP.pdf,
Secretaría General,Ministerio de Seguridad,"Caja de Retiros, Jubilaciones y Pensiones (Directorio)",Ley 13236,https://normas.gba.gob.ar/documentos/xAzabfRB.pdf,15/10/2004,https://www.cajapolicia.gob.ar/,MARTIN,Juan Pablo ,Masculino,"Resolución 118020/2020 de la Caja de Retiros, Jubilaciones y Pensiones ",https://normas.gba.gob.ar/ar-b/resolucion/2020/118020/363692,
Dirección de Administración,Ministerio de Seguridad,Vicepresidencia,Ley 13236,https://normas.gba.gob.ar/documentos/xAzabfRB.pdf,15/10/2004,https://www.cajapolicia.gob.ar/,TEISEIRA,Leandro Carlos,Masculino,"Resolución 105929/2017 de la Caja de Retiros, Jubilaciones y Pensiones",https://normas.gba.gob.ar/ar-b/resolucion/2017/105929/363723,
Dirección de Asuntos Jurídicos,Ministerio de Seguridad,Vicepresidencia,Ley 13236,https://normas.gba.gob.ar/documentos/xAzabfRB.pdf,15/10/2004,https://www.cajapolicia.gob.ar/,SVANE, Eduardo,Masculino,"Resolución 21455/2022 de la Caja de Retiros, Jubilaciones y Pensiones",https://normas.gba.gob.ar/ar-b/resolucion/2022/21455/363721,
Dirección Técnico Previsional,Ministerio de Seguridad,Vicepresidencia,Ley 13236,https://normas.gba.gob.ar/documentos/xAzabfRB.pdf,15/10/2004,https://www.cajapolicia.gob.ar/,NEUENBURG,Patricio Edgardo,Masculino,"Resolución 118300/2020 de la Caja de Retiros, Jubilaciones y Pensiones",https://normas.gba.gob.ar/ar-b/resolucion/2020/118300/363716,
