unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Secretaría General,Secretaría General,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/secretariageneral,VILA,María Agustina,Femenino,Decreto 17 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/17b/403262,15/01/2022
Subsecretaría de Administración,Secretaría General,Secretaría General,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,PAEZ,Marianela ,Femenino,Decreto 476/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/476/503661,01/04/2025
Subsecretaría General,Secretaría General,Secretaría General,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,DOMENICONI,Carla Celina ,Femenino,Decreto 1890/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1890/456846,08/09/2024
Subsecretaría Legal y Técnica,Secretaría General,Secretaría General,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,BERRIEL,María Sol,Femenino,Decreto 86/2022,https://normas.gba.gob.ar/documentos/VWqLokCY.pdf,01/02/2022
Subsecretaría de Gestión y Empleo Público,Secretaría General,Secretaría General,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,FERRARIS,Paula Verónica,Femenino,Decreto 131/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/131/414796,01/02/2024
Unidad de Políticas de Igualdad de Géneros y Diversidad Sexual,Secretaría General,Secretaría General,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,_____,_,Masculino,,,
ORGANISMO PROVINCIAL DE CONTRATACIONES ,Secretaría General,Secretaría General,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://opc.gba.gob.ar/,ANADON,María Victoria ,Femenino,Decreto 26 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/26b/403977,23/09/2022
"Unidad Ejecutora del Programa Provincial para el impulso y la mejora de la infraestructura de sedes administrativas, judiciales y sociales bonaerenses en la Ciudad de La Plata",Secretaría General,Secretaría General,Decreto 767/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/767/306253,27/07/2022,"",PERALTA ,Guillermo Julio,Masculino,Resolución 38/2023 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2023/38/346347,01/01/2023
"DIRECCIÓN PROVINCIAL DE ""EDICIONES BONARENSES""",Secretaría General,Secretaría General,Decreto 345/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/345/426505,,https://www.gba.gob.ar/secretariageneral,KORN,Guillermo Adrián,Masculino,Resolución 109/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/109/430708,01/04/2024
Dirección General de Administración,Secretaría General,Subsecretaría de Administración,Decreto 4/2020,https://normas.gba.gob.ar/documentos/BLm2d5TM.pdf,08/01/2020,https://www.gba.gob.ar/secretariageneral,LABARRAZ,Lucía ,Femenino,Resolución 26/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/26/417208,29/02/2024
Dirección Provincial de Impresiones y Digitalización del Estado,Secretaría General,Subsecretaría de Administración,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,MARTINAZZO,Milton Carlos,Masculino,Resolución 220/2022 Secretaria General,https://normas.gba.gob.ar/documentos/B3JRAJi7.pdf,31/07/2022
Dirección de Servicios Técnico-Administrativos,Secretaría General,Subsecretaría de Administración,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,ACEVEDO,María Delfina,Femenino,Resolución 359/2025 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2025/359/553962,01/12/2025
Dirección de Automotores Oficiales,Secretaría General,Subsecretaría de Administración,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,VISCARDI,Rosana Mariel,Femenino,Resolución 37/2026 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2026/37/568154,01/02/2026
Dirección Provincial de Centros Gubernamentales,Secretaría General,Subsecretaría de Administración,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,CASTILLO,Emanuel Norberto,Masculino,Resolución 90/2026 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2026/90/583432,01/04/2026
Dirección Provincial de Coordinación y Comunicación Institucional ,Secretaría General,Subsecretaría General,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,BOTTINELLI, Leandro Enrique,Masculino,Resolución 153/2025 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2025/153/520539,01/06/2025
Dirección Provincial de Bienes y Servicios,Secretaría General,Subsecretaría General,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,_____,_,Masculino,,,
Dirección de Comunicación y Desarrollo Institucional,Secretaría General,Subsecretaría General,Decreto 4/2020,https://normas.gba.gob.ar/documentos/BLm2d5TM.pdf,08/01/2020,"",_____,_,Masculino,,,
Dirección Provincial de Asuntos Jurídicos (SG),Secretaría General,Subsecretaría Legal y Técnica,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,LOGIODICE,María Florencia,Femenino,Resolución 102/2022 de la Secretaría General,https://normas.gba.gob.ar/documentos/04Xn2YtN.pdf,01/05/2022
Dirección Provincial de Enlace y Asuntos Legislativos,Secretaría General,Subsecretaría Legal y Técnica,Decreto 345/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/345/426505,,https://www.gba.gob.ar/secretariageneral,OJEDA ,Analía Soledad ,Femenino,Resolución 102/2022 de la Secretaría General,https://normas.gba.gob.ar/documentos/04Xn2YtN.pdf,01/05/2022
Dirección Provincial de Boletín Oficial y Ordenamiento Normativo,Secretaría General,Subsecretaría Legal y Técnica,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,MARTINEZ,Diego Guillermo,Masculino,RESOLUCIÓN 84/2021 DE SECRETARÍA GENERAL,https://normas.gba.gob.ar/documentos/ByzWRvSl.pdf,01/07/2021
Dirección de Registro Oficial y Coordinación Administrativa,Secretaría General,Subsecretaría Legal y Técnica,Decreto 345/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/345/426505,,https://www.gba.gob.ar/secretariageneral,ARAVENA ,Facundo Ezequiel,Masculino,Resolución 418/2026 del Ministerio de Economía a cargo del Despacho de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2026/418/610685,01/01/2020
Dirección Provincial de Asuntos Técnicos y Asesoramiento,Secretaría General,Subsecretaría Legal y Técnica,Decreto 345/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/345/426505,,https://www.gba.gob.ar/secretariageneral,ETCHEGARAY, Constanza,Femenino,Resolución 85/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/85/428223,01/04/2024
Dirección Provincial de Personal,Secretaría General,Subsecretaría de Gestión y Empleo Público,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,DE LA ARENA,Jerónimo,Masculino,Resolución 76/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/76/427157,03/04/2024
Dirección Provincial de Operaciones e Información del Empleo Público,Secretaría General,Subsecretaría de Gestión y Empleo Público,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,MERLO,Lorena Virna,Femenino,Decreto 1290/2016,https://normas.gba.gob.ar/ar-b/decreto/2016/1290/22155,12/04/2016
Dirección de Acciones Comunicacionales del Empleo Público,Secretaría General,Subsecretaría de Gestión y Empleo Público,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,FRANCO,Luciana,Femenino,,,01/05/2024
INSTITUTO PROVINCIAL DE LA ADMINISTRACIÓN PÚBLICA,Secretaría General,Subsecretaría de Gestión y Empleo Público,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,ESCUDERO,Hernán Vidal,Masculino,Resolución 95/2020 del Ministerio de Jefatura de Gabinete de Ministros,https://normas.gba.gob.ar/documentos/BgAJYbc3.pdf,07/01/2020
DIRECCIÓN PROVINCIAL DE CONDICIONES LABORALES,Secretaría General,Subsecretaría de Gestión y Empleo Público,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,SALVIOLI ,Pablo Esteban,Masculino,Resolución 2354/2023 del Ministerio de Jefatura de Gabinete de Ministros,https://normas.gba.gob.ar/ar-b/resolucion/2023/2354/365141,01/04/2023
DIRECCIÓN PROVINCIAL DE PLANIFICACIÓN Y GESTIÓN ESTRATÉGICA,Secretaría General,Subsecretaría de Gestión y Empleo Público,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,ETULAIN,Tania,Femenino,Resolución 93/2020 del Ministerio de Jefatura de Gabinete de Ministros,https://normas.gba.gob.ar/ar-b/resolucion/2020/93/211634,01/02/2020
JUNTA DE DISCIPLINA,Secretaría General,Subsecretaría de Gestión y Empleo Público,Decreto 345/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/345/426505,,https://www.gba.gob.ar/secretariageneral,MONTOYA,Diego Luis,Masculino,Decreto 846/2020,https://normas.gba.gob.ar/ar-b/decreto/2020/846/217146,09/09/2020
DIRECCIÓN PROVINCIAL DE COORDINACIÓN ADMINISTRATIVA ,Secretaría General,ORGANISMO PROVINCIAL DE CONTRATACIONES ,Decreto 1314/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1314/316621,23/09/2022,https://opc.gba.gob.ar/,VILLEGAS,Kevin Ezequiel ,Masculino,Resolución 48/2026 del Organismo Provincial de Contrataciones,https://normas.gba.gob.ar/ar-b/resolucion/2026/48/570929,18/02/2026
UNIDAD DE AUDITORÍA INTERNA,Secretaría General,ORGANISMO PROVINCIAL DE CONTRATACIONES ,Decreto 1314/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1314/316621,23/09/2022,https://opc.gba.gob.ar/,FERNANDEZ,Pablo José,Masculino,Resolución 79/2025 del Organismo Provincial de Contrataciones,https://normas.gba.gob.ar/ar-b/resolucion/2025/79/509182,01/04/2025
UNIDAD DE CAPACITACIÓN PERMANENTE ,Secretaría General,ORGANISMO PROVINCIAL DE CONTRATACIONES ,Decreto 1314/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1314/316621,23/09/2022,https://opc.gba.gob.ar/,GUITERA,Pablo Daniel,Masculino,Resolución 5/2022 del Organismo Provincial de Contrataciones,https://normas.gba.gob.ar/documentos/BM4vqbFa.pdf,30/09/2022
SUBSECRETARÍA DE CONTRATACIONES PROVINCIALES ,Secretaría General,ORGANISMO PROVINCIAL DE CONTRATACIONES ,Decreto 1314/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1314/316621,23/09/2022,https://opc.gba.gob.ar/,LERNER,Laura Alejandra ,Femenino,Decreto 73/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/73/411137,01/01/2024
"SUBSECRETARÍA DE SISTEMAS DE ANÁLISIS, MONITOREO, INFORMACIÓN ESTRATÉGICA Y SISTEMAS DE CONTRATACIÓN ",Ministerio de Jefatura de Gabinete de Ministros,ORGANISMO PROVINCIAL DE CONTRATACIONES ,Decreto 1314/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1314/316621,23/09/2022,www.gba.gob.ar/jefatura,DE LA MOTA,Leandro Diego,Masculino,Resolución 1265/2023 del Organismo Provincial de Contrataciones,https://normas.gba.gob.ar/ar-b/resolucion/2023/1265/471595,01/08/2023
DIRECCIÓN PROVINCIAL DEL REGISTRO ÚNICO DE PROVEEDORES Y LICITADORES DEL ESTADO,Ministerio de Jefatura de Gabinete de Ministros,ORGANISMO PROVINCIAL DE CONTRATACIONES ,Decreto 648/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/648/358219,08/05/2023,https://www.gba.gob.ar/opc,DURA,María Florencia,Femenino,Resolución 170/2025 del Organismo Provincial de Contrataciones,https://normas.gba.gob.ar/ar-b/resolucion/2025/170/531452,15/07/2025
"DIRECCION EJECUTIVA DE ""EDICIONES BONAERENSES""",Secretaría General,"DIRECCIÓN PROVINCIAL DE ""EDICIONES BONARENSES""",Decreto 345/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/345/426505,,https://www.gba.gob.ar/secretariageneral,ARZAC,Agustín,Masculino,Resolución 109/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/109/430708,01/04/2024
Dirección de Contrataciones,Secretaría General,Dirección General de Administración,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,AGOSTI,Juan Ignacio,Masculino,Resolución 129/2025 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2025/129/516574,01/06/2025
Dirección de Contabilidad,Secretaría General,Dirección General de Administración,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,https://www.gba.gob.ar/secretariageneral,FLORES,Gabriela Teresita,Femenino,Resolución 18/2020 de la Secretaría General de Gobierno,https://normas.gba.gob.ar/documentos/BeW1qesj.pdf,11/12/2019
Dirección Delegada de la Dirección Provincial de Personal,Secretaría General,Dirección General de Administración,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,"",CARAN,María José ,Femenino,Resolución 353/2025 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2025/353/552415,01/12/2025
Dirección de Informática y tecnologías de comunicación ,Secretaría General,Dirección General de Administración,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,MIGO,Gabriel Alejandro,Masculino,Resolución 90/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/90/428827,01/03/2024
Dirección de Impresiones y Centro de Digitalización,Secretaría General,Dirección Provincial de Impresiones y Digitalización del Estado,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,"",REPETTO SPINELLI,Cesar Augusto,Masculino,Resolución 135/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/135/438608,01/05/2024
Dirección de Planificación y Administración de Recursos de Impresión,Secretaría General,Dirección Provincial de Impresiones y Digitalización del Estado,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,"",AZZATO,Andrea Laura,Femenino,Resolución 106/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/106/430707,01/04/2024
Dirección Gestión Centro Administrativo Gubernamental Torres I y II,Secretaría General,Dirección Provincial de Centros Gubernamentales,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,PIZZATTI, Diego Nicolás,Masculino,Resolución 89/2026 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2026/89/583407,01/04/2026
Dirección de Comunicación Institucional,Secretaría General,Dirección Provincial de Coordinación y Comunicación Institucional ,Decreto 23/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/23/410773,,https://www.gba.gob.ar/secretariageneral,,,,,,
Dirección de Informática y Tecnologías de Comunicación,Secretaría General,Dirección Provincial de Bienes y Servicios,Decreto 895/2022,https://normas.gba.gob.ar/documentos/xAAp9ntR.pdf,18/08/2022,"","_,_","_,_",Femenino,,,
"Dirección de Análisis de Estructuras, Reglamentaciones y Gestión Administrativa",Secretaría General,Dirección Provincial de Asuntos Jurídicos (SG),Decreto 345/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/345/426505,,"",SCALISE FLAQUE,María Laura,Femenino,Resolución 289/2024 de la Secretaría General,https://normas.gba.gob.ar/ar-b/resolucion/2024/289/465040,21/10/2024
