unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/justicia_y_ddhh,MENA,Juan Martín ,Masculino,Decreto 10 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/10b/403250,
"Subsecretaría Tecnica, Administrativa y Legal",Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,VILLEGAS,Maitena Yanil,Femenino,Decreto 63/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/63/411136,09/01/2024
Subsecretaría de Justicia ,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,PEREZ AZNAR,Inti Nahuel,Masculino,Decreto 72/2020,https://normas.gba.gob.ar/documentos/B3zEg3Hj.html,11/12/2019
"Subsecretaría de Planificación, Control de Gestión y Relaciones Institucionales ",Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,_____,_,Masculino,,,
Subsecretaría de Política Penitenciaria,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,GONZALEZ HUESO,José Gervasio,Masculino,Decreto 980/2020,https://normas.gba.gob.ar/documentos/BE3rMRfn.pdf,01/10/2020
Subsecretaría de Política Criminal ,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,PELLEGRINI,Carlos Lisandro,Masculino,Decreto 62/2020,https://normas.gba.gov.ar/documentos/VNa8l8HM.html,03/02/2020
Subsecretaría de Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,MORENO,Matías Facundo,Masculino,Decreto 76/2020,https://normas.gba.gob.ar/documentos/05pJ9Pc5.html,01/01/2020
Subsecretaría de Transparencia Institucional,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 662/2022,https://normas.gba.gob.ar/documentos/x6vMb3UY.pdf,27/06/2022,https://www.gba.gob.ar/justicia_y_ddhh/oti,RAMOS,Ana Laura,Femenino,Decreto 76/2020,https://normas.gba.gob.ar/documentos/05pJ9Pc5.html,11/12/2019
Subsecretaría de Control Interno,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 1153/2020,https://normas.gba.gov.ar/documentos/087qXyTm.pdf,16/12/2020,https://www.gba.gob.ar/justicia_y_ddhh,CASTRO BERGAMIN ,Rayen Nazareno,Masculino,Decreto 104/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/104/414006,11/01/2020
Subsecretaría de Planificación Estratégica ,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 1153/2020,https://normas.gba.gov.ar/documentos/087qXyTm.pdf,16/12/2020,https://www.gba.gob.ar/justicia_y_ddhh,_____,_,Masculino,,,
Escribanía General de Gobierno,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 2595/2011,https://normas.gba.gob.ar/documentos/xqeD8Spx.html,13/02/2012,https://www.gba.gob.ar/escribaniageneral,SIDOTI,Paula,Femenino,Decreto 146/2020,https://normas.gba.gob.ar/documentos/BeWJGPf7.html,01/03/2020
Patronato de Liberados Bonaerense,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 658/2018,https://normas.gba.gob.ar/documentos/VWOAptGV.html,29/06/2018,http://www.plb.gba.gov.ar/,HNATIUK ,Aníbal Rolando ,Masculino,Decreto 58/2020,https://normas.gba.gov.ar/documentos/BK3p7ACn.pdf,01/01/2020
"Dirección Provincial de Comunicación, Ceremonial y Contenidos Institucionales",Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 3160/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3160/477196,,https://www.gba.gob.ar/justicia_y_ddhh,DAMIANI, Ignacio Gabriel,Masculino,Resolución 91/2024 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2024/91/413771,04/01/2024
Subsecretaría de Inclusión Penitenciaria,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 662/2022,https://normas.gba.gob.ar/documentos/x6vMb3UY.pdf,27/06/2022,https://www.gba.gob.ar/justicia_y_ddhh,"_,_","_,_",Femenino,,,
Agencia de Asistencia Técnico Legislativa,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 1153/2020,https://normas.gba.gov.ar/documentos/087qXyTm.pdf,16/12/2020,https://www.gba.gob.ar/justicia_y_ddhh,BARBUTO,Pablo Enrique,Masculino,Decreto 214/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/214/423641,24/01/2024
Subsecretaría de Inclusión Laboral y Comunitaria de Personas en Conflicto con la Ley Penal,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 204/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/204/420026,,https://www.gba.gob.ar/justicia_y_ddhh,CALANDRA,Nora Laura ,Femenino,Decreto 353/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/353/427211,01/03/2024
SUBSECRETARÍA DE INCLUSIÓN EDUCATIVA DE PERSONAS EN CONFLICTO CON LA LEY PENAL,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 204/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/204/420026,,https://www.gba.gob.ar/justicia_y_ddhh,RAO,Diego Ignacio,Masculino,Decreto 327/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/327/425452,01/03/2024
UNIDAD PROVINCIAL ESPECIALIZADA PARA LA BÚSQUEDA DE PERSONAS APROPIADAS DURANTE LA ÚLTIMA DICTADURA CÍVICO-MILITAR,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Decreto 3160/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3160/477196,,https://www.gba.gob.ar/justicia_y_ddhh,CARLOTTO, Claudia Susana,Femenino,Resolución 3/2025 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2025/3/482432,11/12/2024
Dirección General de Administración ,Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,IRIART,Germán,Masculino,Resolución 140/2024 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2024/140/416836,01/02/2024
Dirección Provincial de Apoyo Logístico,Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 37/2020,https://normas.gba.gob.ar/documentos/Bjbjddsw.pdf,29/01/2020,https://www.gba.gob.ar/justicia_y_ddhh,REPETTO,Juan Manuel ,Masculino,Resolución 115/2024 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2024/115/415728,19/01/2024
Dirección Provincial de Informática y Comunicaciones,Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 1153/2020,https://normas.gba.gov.ar/documentos/087qXyTm.pdf,16/12/2020,https://www.gba.gob.ar/justicia_y_ddhh,SANTIN,David Esteban ,Masculino,Resolución 1259/2024 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2024/1259/449469,01/07/2024
Dirección Provincial de Infraestructura,Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 662/2022,https://normas.gba.gob.ar/documentos/x6vMb3UY.pdf,27/06/2022,https://www.gba.gob.ar/justicia_y_ddhh,BELLA,Carlos Alberto ,Masculino,Resolución 1286/2024 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2024/1286/450735,06/08/2024
Dirección Provincial Técnica y Jurídica,Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 662/2022,https://normas.gba.gob.ar/documentos/x6vMb3UY.pdf,27/06/2022,https://www.gba.gob.ar/justicia_y_ddhh,GARCIA,Alfredo Ezequiel,Masculino,Resolución 106/2024 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2024/106/415082,19/01/2024
Unidad Ejecutora de Proyectos con Financiamiento Internacional,Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 1153/2020,https://normas.gba.gov.ar/documentos/087qXyTm.pdf,16/12/2020,https://www.gba.gob.ar/justicia_y_ddhh,,,,,,
DIRECCIÓN GENERAL DE ADMINISTRACIÓN DE PERSONAL,Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 662/2022,https://normas.gba.gob.ar/documentos/x6vMb3UY.pdf,27/06/2022,https://www.gba.gob.ar/justicia_y_ddhh,POLO,Emmanuel,Masculino,Resolución 972/2024 del Ministerio de Justicia y Derechos Humanos,https://normas.gba.gob.ar/ar-b/resolucion/2024/972/443482,01/07/2024
"Dirección de Despacho, Protocolo, Registro y Mesa General de Entredas",Ministerio de Justicia y Derechos Humanos,"Subsecretaría Tecnica, Administrativa y Legal",Decreto 3160/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3160/477196,,https://www.gba.gob.ar/justicia_y_ddhh,,,,,,
