unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Economía,Ministerio de Economía,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/hacienda_y_finanzas,LOPEZ,Pablo Julio,Masculino,Decreto 2 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/2b/403239,11/12/2019
"Subsecretaría Técnica, Administrativa y Legal",Ministerio de Economía,Ministerio de Economía,Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/economia,LAURENCENA,Jaquelina Vanesa,Femenino,Decreto 2337/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/2337/464072,01/10/2024
Subsecretaría de Hacienda,Ministerio de Economía,Ministerio de Economía,Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/economia,ALVAREZ,Fernando Roberto,Masculino,Decreto 1811/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1811/455064,01/09/2024
Subsecretaría de Coordinación Económica y Estadística,Ministerio de Economía,Ministerio de Economía,Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/economia,TODESCA,Nicolás Alejandro,Masculino,Resolución conjunta 868/2021 de la Dirección General de Cultura y Educación,https://normas.gba.gov.ar/documentos/BeWQ2ATj.pdf,11/12/2019
Subsecretaría de Finanzas,Ministerio de Economía,Ministerio de Economía,Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/economia,TELLO,Analía,Femenino,Decreto 2398/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/2398/465614,09/10/2024
Unidad de Comunicación Institucional,Ministerio de Economía,Ministerio de Economía,Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/economia,LUCCA,Celeste,Femenino,Resolución 331/2022 del Ministerio de Hacienda y Finanzas,https://normas.gba.gob.ar/ar-b/resolucion/2022/331/431813,01/03/2022
UNIDAD DE GÉNERO Y ECONOMÍA,Ministerio de Economía,Ministerio de Economía,Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/economia,LOMBARDIA,Laura,Femenino,Resolución 90/2022 del Ministerio de Hacienda y Finanzas,https://normas.gba.gob.ar/ar-b/resolucion/2022/90/431806,02/11/2021
UNIDAD DE COORDINACIÓN DE LOS SUBSISTEMAS DE LA LEY DE ADMINISTRACIÓN FINANCIERA,Ministerio de Economía,Ministerio de Economía,Decreto 160/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/160/416909,,https://www.gba.gob.ar/economia,ARAMBURU,Pedro Ariel,Masculino,Resolución 219/2024 del Ministerio de Economía,https://normas.gba.gob.ar/ar-b/resolucion/2024/219/431767,11/03/2024
Dirección Provincial de Asuntos Jurídicos (ME),Ministerio de Economía,"Subsecretaría Técnica, Administrativa y Legal",Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/economia,FERNANDEZ DUARTE,Verónica Ayelén,Femenino,Resolución 614/2024 del Ministerio de Economía,https://normas.gba.gob.ar/ar-b/resolucion/2024/614/469943,01/10/2024
Dirección de Recursos Inmobiliarios Fiscales,Ministerio de Economía,"Subsecretaría Técnica, Administrativa y Legal",Decreto 983/2021,https://normas.gba.gov.ar/documentos/0zly8bhX.pdf,03/11/2021,https://www.gba.gob.ar/hacienda_y_finanzas,"_,_","_,_",Femenino,,,
