unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Ministerio de Seguridad,,Ley 1510,https://normas.gba.gob.ar/ar-b/ley/1882/1510/12007,,https://iuv.gba.gov.ar/,,,,,,
SECRETARÍA ACADÉMICA,Ministerio de Seguridad,Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
SECRETARÍA DE INVESTIGACIÓN,Ministerio de Seguridad,Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
SECRETARÍA DE EXTENSIÓN UNIVERSITARIA,Ministerio de Seguridad,Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
SECRETARÍA DE BIENESTAR ESTUDIANTIL ,Ministerio de Seguridad,Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
SECRETARÍA ADMINISTRATIVA,Ministerio de Seguridad,Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
CENTRO DE EDUCACIÓN A DISTANCIA- CEDU,Ministerio de Seguridad,Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
VICERRECTOR/A,Ministerio de Seguridad,Instituto Universitario Policial Provincial “Comisario General Honoris Causa Juan Vucetich”,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE ALUMNOS Y BEDELÍA,Ministerio de Seguridad,SECRETARÍA ACADÉMICA,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE GESTIÓN ACADÉMICA,Ministerio de Seguridad,SECRETARÍA ACADÉMICA,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE EVALUACIÓN INSTITUCIONAL ,Ministerio de Seguridad,SECRETARÍA ACADÉMICA,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE PROYECTOS Y ARTICULACIÓN CON EL SISTEMA CIENTÍFICO,Ministerio de Seguridad,SECRETARÍA DE INVESTIGACIÓN,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DEL INSTITUTO DE INVESTIGACIÓN EN SEGURIDAD PÚBLICA,Ministerio de Seguridad,SECRETARÍA DE INVESTIGACIÓN,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE PROYECTOS Y PROGRAMAS DE EXTENSIÓN,Ministerio de Seguridad,SECRETARÍA DE EXTENSIÓN UNIVERSITARIA,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
"DIRECCIÓN DE GESTIÓN, PROMOCIÓN Y PROYECTOS DE BIENESTAR ESTUDIANTIL",Ministerio de Seguridad,SECRETARÍA DE BIENESTAR ESTUDIANTIL ,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE CONTABILIDAD Y SERVICIOS AUXILIARES,Ministerio de Seguridad,SECRETARÍA ADMINISTRATIVA,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE PERSONAL ,Ministerio de Seguridad,SECRETARÍA ADMINISTRATIVA,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
DIRECCIÓN DE SERVICIOS TÉCNICOS - ADMINISTRATIVOS,Ministerio de Seguridad,SECRETARÍA ADMINISTRATIVA,Decreto 1167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1167/443777,,https://iuv.gba.gov.ar/,,,,,,
