unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,,Ley 13688,http://www.gob.gba.gov.ar/intranet/digesto/PDF/l13688.pdf,10/07/2007,http://www.abc.gov.ar/,TERIGI,Flavia Zulema,Femenino,Decreto 2892/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/2892/551093,01/12/2025
Dirección Provincial de Legal y Técnica,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 1399/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/VWWDLQIY.pdf,18/08/2020,http://www.abc.gov.ar/,GARCIA,Alberto Enrique,Masculino,Resolución conjunta 73/2022 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/VrlgWyTG.pdf,01/02/2022
Dirección Provincial de Comunicación,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 1399/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/VWWDLQIY.pdf,18/08/2020,http://www.abc.gov.ar/,"_,_","_,_",Femenino,,,
Dirección Provincial de Consejos Escolares y Coordinación Institucional,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 33/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gov.ar/documentos/xAm3MbsR.pdf,31/01/2020,http://www.abc.gov.ar/,_____,_,Masculino,,,
Auditoría General,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 1399/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/VWWDLQIY.pdf,18/08/2020,http://www.abc.gov.ar/,,,,,,
Consejo General de Cultura y Educación,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 1399/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/VWWDLQIY.pdf,18/08/2020,http://www.abc.gov.ar/,,,,,,
Consejo Provincial de Educación y Trabajo (COPRET),Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 33/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gov.ar/documentos/xAm3MbsR.pdf,31/01/2020,http://www.abc.gov.ar/,PAGANI,Adrián,Masculino,Resolución conjunta 727/2022 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/Bl63mwsY.pdf,01/04/2022
Subsecretaría de Planeamiento,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 748/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/BjbJGNHw.pdf,05/05/2020,http://www.abc.gov.ar/,BORN, Diego Ariel,Masculino,Resolución 90/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/VNa8WMi6.pdf,01/02/2020
Subsecretaría de Infraestructura Escolar,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 1162/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/BeWY85uj.pdf,06/07/2020,http://www.abc.gov.ar/,LAMBEZAT,Ariel Alejandro,Masculino,Resolución conjunta 6940/2019 de la Dirección General de Cultura y Educación,https://normas.gba.gob.ar/documentos/Bl7k3ASY.pdf,17/12/2019
Subsecretaría de Educación,Dirección General de Cultura y Educación,Dirección General de Cultura y Educación,Resolución conjunta 33/2020 de la Dirección General de Cultura y Educación,https://normas.gba.gov.ar/documentos/xAm3MbsR.pdf,31/01/2020,http://www.abc.gov.ar/,BRACCHI,Claudia Cristina,Femenino,Decreto 3160/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/3160/556711,01/12/2025
