unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Asesoría General de Gobierno,Asesoría General de Gobierno,,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,http://www.asesoria.gba.gov.ar/,PEREZ TERUEL, Santiago Carlos,Masculino,Decreto 21 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/21b/403271,
Asesoría General de Gobierno Adjunto,Asesoría General de Gobierno,Asesoría General de Gobierno,Decreto 774/2021,https://normas.gba.gov.ar/documentos/BLqgWvcM.pdf,22/09/2021,http://www.asesoria.gba.gov.ar/,GRINBERG,(Adjunto) Ignacio Martín,Masculino,Decreto 7/2020,https://normas.gba.gob.ar/documentos/087E5Qim.pdf,17/12/2019
Asesoría Ejecutiva,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 967/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/967/509126,,http://www.asesoria.gba.gov.ar/,,,,,,
DIRECCIÓN GENERAL DE ADMINISTRACIÓN,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 967/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/967/509126,,http://www.asesoria.gba.gov.ar/,SOSA,Andrea Verónica,Femenino,Resolución 10/2024 de la Asesoría General de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/10/413177,10/01/2024
DIRECCIÓN GENERAL DE PLANIFICACIÓN Y DE INFORMACIÓN JURÍDICA,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 967/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/967/509126,,http://www.asesoria.gba.gov.ar/,PRANDINI ,Santiago ,Masculino,Resolución 100/2026 de la Asesoría General de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2026/100/608506,01/07/2026
Unidad de Gestión y Coordinación con Delegaciones,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 967/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/967/509126,,http://www.asesoria.gba.gov.ar/,_____,_,Masculino,,,
ESCUELA DE ABOGACÍA DE LA ADMINISTRACIÓN PÚBLICA PROVINCIAL,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 774/2021,https://normas.gba.gov.ar/documentos/BLqgWvcM.pdf,22/09/2021,http://www.asesoria.gba.gov.ar/,,,,,,
ESCUELA DE ABOGACÍA DE LA ADMINISTRACIÓN PÚBLICA PROVINCIAL,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 774/2021,https://normas.gba.gov.ar/documentos/BLqgWvcM.pdf,22/09/2021,http://www.asesoria.gba.gov.ar/,VACCAREZZA,Horacio,Masculino,Resolución 16/2020 de la Asesoría General de Gobierno,https://normas.gba.gob.ar/documentos/BE3jqZsn.pdf,15/04/2020
DIRECCIÓN DE COORDINACIÓN CON MUNICIPIOS,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 967/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/967/509126,,https://www.asesoria.gba.gov.ar/,BARRIENTOS MARQUEZ,Flor Marcela,Femenino,Resolución 88/2026 de la Asesoría General de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2026/88/601934,01/06/2026
Dirección Provincial de Relaciones Institucionales ,Asesoría General de Gobierno,Asesoría General de Gobierno Adjunto,Decreto 967/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/967/509126,,https://www.asesoria.gba.gov.ar/,,,,,,
