unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Comité de Cuenca del Río Luján (COMILU),Ministerio de Infraestructura y Servicios Públicos,Subsecretaría de Recursos Hídricos,Ley 14710,https://normas.gba.gov.ar/documentos/BOaNKIk0.html,12/06/2015,https://www.gba.gob.ar/comilu,URDAMPILLETA,Alejandro,Masculino,Decreto 314/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/314/425194,01/03/2024
Dirección General Ejecutiva (COMILU),Ministerio de Infraestructura y Servicios Públicos,Comité de Cuenca del Río Luján (COMILU),Decreto 346/2021,https://normas.gba.gov.ar/documentos/xqz1aDhj.pdf,07/06/2021,https://www.gba.gob.ar/comilu,NEGRONI,Ignacio Gastón,Masculino,Decreto 180/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/180/418460,27/02/2024
DIRECTORIO COMILU,Ministerio de Infraestructura y Servicios Públicos,Comité de Cuenca del Río Luján (COMILU),Ley 14710,https://normas.gba.gov.ar/documentos/BOaNKIk0.html,12/06/2015,https://www.gba.gob.ar/comilu,,,,,,
DIRECCIÓN DE GESTIÓN DE LA CUENCA,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMILU),Decreto 346/2021,https://normas.gba.gov.ar/documentos/xqz1aDhj.pdf,07/06/2021,https://www.gba.gob.ar/comilu,DIAZ SANTOS,Daniela Yanina,Femenino,Decreto 316/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/316/425201,15/02/2024
DIRECCIÓN DE RELACIONES INSTITUCIONALES,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMILU),Decreto 346/2021,https://normas.gba.gov.ar/documentos/xqz1aDhj.pdf,07/06/2021,https://www.gba.gob.ar/comilu,RODRIGUEZ,Mariana Daniela,Femenino,Decreto 316/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/316/425201,15/02/2024
Dirección Técnica,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMILU),Decreto 346/2021,https://normas.gba.gov.ar/documentos/xqz1aDhj.pdf,07/06/2021,https://www.gba.gob.ar/comilu,CEOLIN,Jerónimo Manuel,Masculino,Resolución 10/2025 del Comité de Cuenca del Río Luján (COMILU),https://normas.gba.gob.ar/ar-b/resolucion/2025/10/519496,01/07/2025
DIRECCIÓN DE ASUNTOS LEGALES,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMILU),Decreto 346/2021,https://normas.gba.gov.ar/documentos/xqz1aDhj.pdf,07/06/2021,https://www.gba.gob.ar/comilu,CITATI,Dalina Constanza,Femenino,Decreto 316/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/316/425201,15/02/2024
DIRECCIÓN ADMINISTRATIVA Y CONTABLE,Ministerio de Infraestructura y Servicios Públicos,Dirección General Ejecutiva (COMILU),Decreto 346/2021,https://normas.gba.gov.ar/documentos/xqz1aDhj.pdf,07/06/2021,https://www.gba.gob.ar/comilu,D?ALESSANDRO CEPEDA,María Victoria,Femenino,Resolución 8/2024 del Comité de Cuenca del Río Luján (COMILU),https://normas.gba.gob.ar/ar-b/resolucion/2024/8/471231,01/11/2024
REPRESENTANTE COMILU I,Ministerio de Infraestructura y Servicios Públicos,DIRECTORIO COMILU,,,,https://www.gba.gob.ar/comilu,CASTRO,Juan José Andrés,Masculino,Decreto 1265/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1265/447117,
REPRESENTANTE COMILU II,Ministerio de Infraestructura y Servicios Públicos,DIRECTORIO COMILU,,,,https://www.gba.gob.ar/comilu,CASTELLI,Rosario,Femenino,Decreto 883/2026,https://normas.gba.gob.ar/ar-b/decreto/2026/883/607713,01/06/2026
