unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Organismo Provincial de Integración Social y Urbana,Ministerio de Hábitat y Desarrollo Urbano,Ministerio de Hábitat y Desarrollo Urbano,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/opisu,BARRIOS,Romina Analía,Femenino,Decreto  48/2019 B,https://normas.gba.gob.ar/documentos/xpzmMoTP.pdf,11/12/2019
Dirección Provincial de Proyectos Urbanos,Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,ALEMAN,Clara,Femenino,Resolución 176/2025 del Organismo Provincial de Integración Social y Urbana (OPISU),https://normas.gba.gob.ar/ar-b/resolucion/2025/176/513051,01/05/2025
Dirección Provincial de Integración Social,Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,GRANDE,Esteban Nicolás ,Masculino,Resolución 223/2026 del Organismo Provincial de Integración Social y Urbana (OPISU),https://normas.gba.gob.ar/ar-b/resolucion/2026/223/615666,13/07/2026
Dirección Provincial de Integración Productiva,Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,CASTILLO,María Inés ,Femenino,Resolución 50/2024 del Organismo Provincial de Integración Social y Urbana,https://normas.gba.gob.ar/ar-b/resolucion/2024/50/419443,15/01/2024
Dirección Provincial de Sistematización de Datos,Ministerio de Jefatura de Gabinete de Ministros,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,"",_____,_,Masculino,,,
Dirección General de Administración (OPISU),Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,VALLES,Mayra Florencia,Femenino,Decreto 78/2023,https://normas.gba.gob.ar/documentos/xagzeRU3.pdf,01/01/2023
DIRECCIÓN PROVINCIAL DE SISTEMAS DE INFORMACIÓN Y MONITOREO ESTRATÉGICO,Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,LIZARRAGA,Hugo Alberto,Masculino,Resolución 85/2026 del Organismo Provincial de Integración Social y Urbana (OPISU),https://normas.gba.gob.ar/ar-b/resolucion/2026/85/574759,01/03/2026
DIRECCIÓN PROVINCIAL DE EVALUACIÓN DE POLÍTICAS URBANAS Y CONTROL DE GESTIÓN,Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,ARGNANI,Julia,Femenino,Resolución 138/2025 del Organismo Provincial de Integración Social y Urbana (OPISU),https://normas.gba.gob.ar/ar-b/resolucion/2025/138/508141,09/04/2025
DIRECCIÓN PROVINCIAL DE CONTROL Y SUPERVISIÓN DE PROYECTOS Y OBRAS,Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,MEDINA,Gabriela Yamila,Femenino,Decreto 132/2022,https://normas.gba.gob.ar/documentos/Bj69Ekcw.pdf,22/12/2021
DIRECCIÓN PROVINCIAL TÉCNICO LEGAL,Ministerio de Hábitat y Desarrollo Urbano,Organismo Provincial de Integración Social y Urbana,Decreto 209/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/209/423168,,https://www.gba.gob.ar/opisu,SANCHEZ,Pablo Guillermo,Masculino,Resolución 225/2026 del Organismo Provincial de Integración Social y Urbana (OPISU),https://normas.gba.gob.ar/ar-b/resolucion/2026/225/615674,13/07/2026
Dirección de Integración Urbana,Ministerio de Jefatura de Gabinete de Ministros,Dirección Provincial de Proyectos Urbanos,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,"",_____,_,Masculino,,,
Dirección de Mesas de Gestión Participativa,Ministerio de Jefatura de Gabinete de Ministros,Dirección Provincial de Proyectos Urbanos,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,"",_____,_,Masculino,Decreto 821/2021,https://normas.gba.gov.ar/documentos/B3JzKoI7.pdf,01/08/2021
Dirección de Articulación de Proyectos,Ministerio de Jefatura de Gabinete de Ministros,Dirección Provincial de Proyectos Urbanos,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,"","_,_","_,_",Femenino,,,
DIRECCIÓN DE PLANES Y PROYECTOS DE ARQUITECTURA URBANA,Ministerio de Hábitat y Desarrollo Urbano,Dirección Provincial de Proyectos Urbanos,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,HERNANDEZ,Martina,Femenino,Resolución 176/2025 del Organismo Provincial de Integración Social y Urbana (OPISU),https://normas.gba.gob.ar/ar-b/resolucion/2025/176/513051,01/05/2025
DIRECCIÓN DE PROYECTOS DE INGENIERÍA URBANA,Ministerio de Hábitat y Desarrollo Urbano,Dirección Provincial de Proyectos Urbanos,Decreto 1147/2021,https://normas.gba.gob.ar/ar-b/decreto/2021/1147/270243,21/12/2021,https://www.gba.gob.ar/opisu,LAMBOGLIA,Juan Pablo,Masculino,Decreto 133/2022,https://normas.gba.gob.ar/documentos/VWqzozHY.pdf,22/12/2021
