unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Autoridad del Agua (Presidencia),Ministerio de Infraestructura y Servicios Públicos,Subsecretaría de Recursos Hídricos,Decreto 167/2018,https://normas.gba.gob.ar/documentos/0PMjqf7x.pdf,12/03/2018,http://www.ada.gba.gov.ar/,COSTAMAGNA,Damián Matías,Masculino,Decreto 167/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/167/417221,
AUTORIDAD DEL AGUA (Vicepresidencia),Ministerio de Infraestructura y Servicios Públicos,Autoridad del Agua (Presidencia),Decreto 167/2018,https://normas.gba.gob.ar/documentos/0PMjqf7x.pdf,12/03/2018,http://www.ada.gba.gov.ar/,REIBEL MAIER,Martin,Masculino,Decreto 315/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/315/425197,16/02/2024
Autoridad del Agua (vocal I),Ministerio de Infraestructura y Servicios Públicos,AUTORIDAD DEL AGUA (Vicepresidencia),Decreto 167/2018,https://normas.gba.gob.ar/documentos/0PMjqf7x.pdf,12/03/2018,http://www.ada.gba.gov.ar/,LANZETTA,Máximo,Masculino,Decreto 351/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/351/427432,05/02/2024
Autoridad del Agua (vocal II),Ministerio de Infraestructura y Servicios Públicos,Autoridad del Agua (vocal I),Decreto 167/2018,https://normas.gba.gob.ar/documentos/0PMjqf7x.pdf,12/03/2018,http://www.ada.gba.gov.ar/,DEINA,Oscar Juan,Masculino,Decreto 115/2020,https://normas.gba.gob.ar/documentos/B1WA7Yh4.html,01/01/2020
"Dirección Provincial de Planes Hídricos, Monitoreo y Alerta",Ministerio de Infraestructura y Servicios Públicos,Autoridad del Agua (vocal II),Decreto 167/2018,https://normas.gba.gob.ar/documentos/0PMjqf7x.pdf,12/03/2018,http://www.ada.gba.gov.ar/,MULLER,Maximiliana,Femenino,Resolución conjunta 620/2024 del Autoridad del Agua (ADA),https://normas.gba.gob.ar/ar-b/resolucion-conjunta/2024/620/437966,01/03/2024
Dirección Provincial de Gestión Hídrica,Ministerio de Infraestructura y Servicios Públicos,Autoridad del Agua (vocal II),Decreto 167/2018,https://normas.gba.gob.ar/documentos/0PMjqf7x.pdf,12/03/2018,http://www.ada.gba.gov.ar/,CUMBA,Andrea,Femenino,Decreto 640/2018,http://www.gob.gba.gov.ar/intranet/digesto/PDF/D640-18.pdf,01/01/2018
Dirección Provincial de Calidad y Control del Servicio Sanitario,Ministerio de Infraestructura y Servicios Públicos,Autoridad del Agua (vocal II),Decreto 861/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/861/438928,,http://www.ada.gba.gov.ar/,GABILONDO, Patricio Alfredo,Masculino,Resolución conjunta 457/2024 del Autoridad del Agua,https://normas.gba.gob.ar/ar-b/resolucion-conjunta/2024/457/433102,17/02/2024
Dirección General de Administración,Ministerio de Infraestructura y Servicios Públicos,Autoridad del Agua (vocal II),Decreto 167/2018,https://normas.gba.gob.ar/documentos/0PMjqf7x.pdf,12/03/2018,http://www.ada.gba.gov.ar/,FERRANTE,Natalia Belén,Femenino,Resolución conjunta 940/2024 del Autoridad del Agua,https://normas.gba.gob.ar/ar-b/resolucion-conjunta/2024/940/450717,
Dirección de Asuntos Legales,Ministerio de Infraestructura y Servicios Públicos,Autoridad del Agua (vocal II),Decreto 861/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/861/438928,,http://www.ada.gba.gov.ar/,ECHEVERRIA,María Belén,Femenino,Decreto 381/2018,https://normas.gba.gob.ar/documentos/VGOyK3fk.pdf,01/01/2018
Dirección de Planeamiento Hídrico,Ministerio de Infraestructura y Servicios Públicos,"Dirección Provincial de Planes Hídricos, Monitoreo y Alerta",Decreto 861/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/861/438928,,http://www.ada.gba.gov.ar/,GUERRERO BORGES,Verónica,Femenino,Decreto 739/2020,https://normas.gba.gob.ar/documentos/VJJ25pim.pdf,01/05/2020
