unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
JUNTA ELECTORAL,JUNTA ELECTORAL,Gobernación de la Provincia de Buenos Aires,Ley 5109,https://normas.gba.gob.ar/ar-b/ley/1946/5109/10163,30/11/1946,https://www.juntaelectoral.gba.gov.ar/,KOGAN,Hilda,Femenino,Acuerdo 4181/2025 Suprema Corte de Justicia,https://normas.gba.gob.ar/ar-b/resolucion/2025/4181/507471,19/04/2025
SECRETARÍA DE ACTUACIÓN,JUNTA ELECTORAL,JUNTA ELECTORAL,Decreto 3607/1993,https://normas.gba.gob.ar/ar-b/decreto/1993/3607/87058,29/10/1993,https://www.juntaelectoral.gba.gov.ar/,DEMARIA MASSEY,Daniel Jorge,Masculino,Decreto 2350/2022,https://normas.gba.gob.ar/documentos/0nOdOrtr.pdf,01/06/2022
SECRETARÍA ADMINISTRATIVA,JUNTA ELECTORAL,JUNTA ELECTORAL,Decreto 3607/1993,https://normas.gba.gob.ar/ar-b/decreto/1993/3607/87058,29/10/1993,https://www.juntaelectoral.gba.gov.ar/,NOBILE,Diego Adolfo,Masculino,Decreto 2359/2022,https://normas.gba.gob.ar/documentos/04zKKwfN.pdf,01/06/2022
SECRETARÍA DE MODERNIZACIÓN,JUNTA ELECTORAL,JUNTA ELECTORAL,Decreto 663/2022,https://normas.gba.gob.ar/documentos/084obMcm.pdf,27/06/2022,https://www.juntaelectoral.gba.gov.ar/,FASANO,Vicente,Masculino,Decreto 2352/2022,https://normas.gba.gob.ar/documentos/0vGwwEfz.pdf,01/07/2022
Vicepresidencia (JE),JUNTA ELECTORAL,JUNTA ELECTORAL,Ley 5109,https://normas.gba.gob.ar/ar-b/ley/1946/5109/10163,30/11/1946,https://www.juntaelectoral.gba.gov.ar/,BOURIMBORDE,Ana María,Femenino,,,
DIRECCIÓN GENERAL ELECTORAL,JUNTA ELECTORAL,SECRETARÍA DE ACTUACIÓN,Decreto 3607/1993,https://normas.gba.gob.ar/ar-b/decreto/1993/3607/87058,29/10/1993,https://www.juntaelectoral.gba.gov.ar/,HOYA,Manuela,Femenino,Decreto 1609/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1609/451241,02/05/2024
DIRECCIÓN GENERAL DE ADMINISTRACIÓN (JE),JUNTA ELECTORAL,SECRETARÍA ADMINISTRATIVA,Decreto 1242/2005,https://normas.gba.gob.ar/ar-b/decreto/2005/1242/47362,30/06/2005,https://www.juntaelectoral.gba.gov.ar/, BARCHINE,Leandro Alberto ,Masculino,decreto 709/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/709/358597,30/03/2023
"DIRECCIÓN DE TECNOLOGÍA, LOGÍSTICA Y SISTEMAS ELECTORALES",JUNTA ELECTORAL,SECRETARÍA DE MODERNIZACIÓN,Decreto 663/2022,https://normas.gba.gob.ar/documentos/084obMcm.pdf,27/06/2022,https://www.juntaelectoral.gba.gov.ar/,SAN JUAN, Ramiro Claudio,Masculino,DECRETO 707/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/707/358591,
VOCAL I (JE),JUNTA ELECTORAL,Vicepresidencia (JE),Ley 5109,https://normas.gba.gob.ar/ar-b/ley/1946/5109/10163,30/11/1946,https://www.juntaelectoral.gba.gov.ar/,DELBES,Eduardo Raúl,Masculino,,,
VOCAL II (JE),JUNTA ELECTORAL,Vicepresidencia (JE),Ley 5109,https://normas.gba.gob.ar/ar-b/ley/1946/5109/10163,30/11/1946,https://www.juntaelectoral.gba.gov.ar/,SPACAROTEL,Gustavo Daniel,Masculino,,,
