unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Trabajo,Ministerio de Trabajo,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/trabajo,CORREA,Jorge Walter,Masculino,Decreto 15 B/2023 ,https://normas.gba.gob.ar/ar-b/decreto/2023/15b/403259,24/08/2022
Subsecretaría de Relaciones del Trabajo,Ministerio de Trabajo,Ministerio de Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,RODRIGUEZ REVELES,Alberto Andrés,Masculino,Decreto 75/2023,https://normas.gba.gob.ar/documentos/V9rw1atW.pdf,02/01/2023
SUBSECRETARÍA DE INSPECCIÓN DEL TRABAJO,Ministerio de Trabajo,Ministerio de Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,SALOMON,MARIANO,Masculino,Decreto 1378/2022,https://normas.gba.gob.ar/documentos/BgZvdLF3.pdf,01/09/2022
SUBSECRETARÍA DE EMPLEO,Ministerio de Trabajo,Ministerio de Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,SOIZA,Cecilia Esther,Femenino,Decreto 87/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/87/413971,10/01/2024
"SUBSECRETARÍA TÉCNICA, ADMINISTRATIVA Y LEGAL",Ministerio de Trabajo,Ministerio de Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,ACUNA GARCETE,Edgar,Masculino,Decreto 1867/2022,https://normas.gba.gob.ar/documentos/Bo2jjQUl.pdf,14/11/2022
COMISIÓN PROVINCIAL PARA LA PREVENCIÓN Y ERRADICACIÓN DEL TRABAJO INFANTIL,Ministerio de Trabajo,Ministerio de Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,VINES,Nicolás,Masculino,Resolución 142/2023 del Ministerio de Trabajo,https://normas.gba.gob.ar/ar-b/resolucion/2023/142/365420,01/03/2023
UNIDAD TÉCNICA DE LA COMISIÓN MIXTA DE SALUD Y SEGURIDAD EN EL EMPLEO PÚBLICO (CoMiSaSEP),Ministerio de Trabajo,Ministerio de Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,CANAVIRI,Gloria,Femenino,Resolución 229/2024 del Ministerio de Trabajo,https://normas.gba.gob.ar/ar-b/resolucion/2024/229/460872,18/09/2024
Dirección Provincial de Comunicación,Ministerio de Trabajo,Ministerio de Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,TOTO,Lila Alejandra,Femenino,RESOLUCIÓN 20/2022 DEL MINISTERIO DE TRABAJO,https://normas.gba.gob.ar/ar-b/resolucion/2022/20/282185,20/01/2022
INSTITUTO DE PREVISIÓN SOCIAL (IPS),Ministerio de Trabajo,Ministerio de Trabajo,Ley 8587,https://normas.gba.gob.ar/documentos/0PLGkIA0.html,12/01/1976,https://www.ips.gba.gob.ar/,MORETTI,Marina Alejandra,Femenino,Decreto 3227/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/3227/557281,05/01/2026
DIRECCIÓN PROVINCIAL DE LA NEGOCIACIÓN COLECTIVA,Ministerio de Trabajo,Subsecretaría de Relaciones del Trabajo,Decreto 21/2022,https://normas.gba.gov.ar/documentos/BgZqp6i3.pdf,20/01/2022,https://www.gba.gob.ar/trabajo,LORENZO,Juan Pablo,Masculino,Resolución 287/2022 del Ministerio de Trabajo,https://normas.gba.gob.ar/ar-b/resolucion/2022/287/321629,20/09/2022
