unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Ministerio de Transporte,Ministerio de Transporte,Gobernación de la Provincia de Buenos Aires,Ley 15477,https://normas.gba.gob.ar/ar-b/ley/2023/15477/406431,29/12/2023,https://www.gba.gob.ar/transporte,MARINUCCI,Martin Fabio,Masculino,Decreto 3682/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3682/481184,01/01/2025
Subsecretaría de Transporte Terrestre,Ministerio de Transporte,Ministerio de Transporte,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,https://www.gba.gob.ar/transporte,CONTRERAS,Damián Raúl Ramón ,Masculino,Decreto 10/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/10/484134,
Subsecretaría de Transporte,Ministerio de Transporte,Ministerio de Transporte,,,,"",_____,_,Masculino,,,
SUBSECRETARÍA DE POLÍTICA Y SEGURIDAD VIAL,Ministerio de Transporte,Ministerio de Transporte,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,"",FEIJOO, Eduardo Gabriel ,Masculino,Decreto 8/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/8/484126,
"Subsecretaría Técnica, Administrativa y Legal",Ministerio de Transporte,Ministerio de Transporte,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,"",D?ANGELO CAMPOS,Patricio David,Masculino,Decreto 9/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/9/484131,03/01/2025
SUBSECRETARÍA DE TRANSPORTE AÉREO Y FLUVIAL,Ministerio de Transporte,Ministerio de Transporte,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,"",MAYOL,Sandra Marcela,Femenino,Decreto 6/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/6/484119,
SUBSECRETARÍA DE ARTICULACIÓN INTERJURISDICCIONAL DEL TRANSPORTE,Ministerio de Transporte,Ministerio de Transporte,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,"",MARCELA FABIANA, PASSO,Femenino,Decreto 3149/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/3149/556709,10/12/2025
UNIDAD DE MONITOREO Y REGISTRO GENERAL DE DATOS DEL TRANSPORTE,Ministerio de Transporte,Ministerio de Transporte,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,"",DIAZ,Marcelo Daniel,Masculino,Resolución 40/2025 del Ministerio de Transporte,https://normas.gba.gob.ar/ar-b/resolucion/2025/40/493692,01/01/2025
DIRECCIÓN DE COMUNICACIÓN Y RELACIONES INSTITUCIONALES,Ministerio de Transporte,Ministerio de Transporte,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,"",CIANCIO,María Micaela,Femenino,Resolución 212/2024 del Ministerio de Transporte,https://normas.gba.gob.ar/ar-b/resolucion/2024/212/457311,
Dirección Provincial de Fiscalización del Transporte,Ministerio de Transporte,Subsecretaría de Transporte Terrestre,Decreto 382/2022,https://normas.gba.gob.ar/documentos/0zlM2jtX.pdf,12/05/2022,https://www.gba.gob.ar/transporte,VARVASINO,Guillermo Daniel,Masculino,Resolución 68/2025 del Ministerio de Transporte,https://normas.gba.gob.ar/ar-b/resolucion/2025/68/494894,
