unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Instituto de Obra Médico Asistencial (IOMA),Ministerio de Salud,Ministerio de Salud,Decreto 1166/2000,https://normas.gba.gob.ar/ar-b/decreto/2000/1166/56630,20/06/2000,http://www.ioma.gba.gob.ar,GILES ,Homero Federico ,Masculino,Decreto 24 B/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/24b/403969,13/12/2023
IOMA (Vicepresidencia),Ministerio de Salud,Instituto de Obra Médico Asistencial (IOMA),Decreto 1166/2000,https://normas.gba.gob.ar/ar-b/decreto/2000/1166/56630,20/06/2000,http://www.ioma.gba.gob.ar,CARDELLI,Mariano,Masculino,Decreto 2370/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/2370/537758,25/08/2025
DIRECTORIO (IOMA),Ministerio de Salud,Instituto de Obra Médico Asistencial (IOMA),Ley 6982,http://www.gob.gba.gov.ar/legislacion/legislacion/l-6982.html,24/12/1964,https://www.ioma.gba.gob.ar/,,,,,,
DIRECCIÓN DE RELACIONES JURÍDICAS ,Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1166/2000,https://normas.gba.gob.ar/ar-b/decreto/2000/1166/56630,20/06/2000,http://www.ioma.gba.gob.ar/,"_,_","_,_",Femenino,,,
DIRECCIÓN DE GESTIÓN INSTITUCIONAL ,Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1166/2000,https://normas.gba.gob.ar/ar-b/decreto/2000/1166/56630,20/06/2000,http://www.ioma.gba.gob.ar/,"_,_","_,_",Femenino,,,
Dirección Provincial de Prestaciones,Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,PICCA,Nils,Masculino,Decreto 50/2020,https://normas.gba.gob.ar/documentos/VwyMYMi5.pdf,18/12/2019
DIRECCIÓN GENERAL DE ADMINISTRACIÓN (IOMA),Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,ZAVALA,Andrea Eleonora,Femenino,Decreto 175/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/175/417224,01/01/2024
"Dirección Provincial de Regiones, Atención y Cuidado del/de la Afiliado/a",Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,LOMBARDO,Federico Damián,Masculino,Decreto 153/2022,https://normas.gba.gob.ar/documentos/B3Jr74S7.pdf,01/01/2022
INSTITUTO SUPERIOR DE EDUCACIÓN DEL IOMA (ISEI),Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,RACHID,Jorge Raúl,Masculino,Decreto 47/2023,https://normas.gba.gob.ar/documentos/xDq536FK.pdf,12/09/2022
UNIDAD DE COMUNICACIÓN,Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,GHEA,María Elisa,Femenino,Decreto 12/2023,https://normas.gba.gob.ar/documentos/ByGm45fl.pdf,01/11/2022
UNIDAD DE AUDITORÍA Y CONTROL DE GESTIÓN ,Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,TIMOSSI,Emiliana,Femenino,Decreto 2411/2022,https://normas.gba.gob.ar/documentos/0nJDoRtr.pdf,06/10/2022
"DIRECCIÓN PROVINCIAL DE TECNOLOGÍA, ANÁLISIS DE DATOS E INNOVACIÓN",Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,RIVADEMAR,Juan José,Masculino,Decreto 269/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/269/346006,12/09/2022
DIRECCIÓN PROVINCIAL DE RELACIONES INSTITUCIONALES Y JURÍDICAS ,Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar,PAGLIUCA,Mauro José,Masculino,Decreto 269/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/269/346006,12/09/2022
DIRECCIÓN PROVINCIAL DE PLANIFICACIÓN PRESTACIONAL Y GESTIÓN DIRECTA ,Ministerio de Salud,IOMA (Vicepresidencia),Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,,,,,,
Vocalía por el poder ejecutivo ,Ministerio de Salud,DIRECTORIO (IOMA),Ley 6982,http://www.gob.gba.gov.ar/legislacion/legislacion/l-6982.html,24/12/1964,https://www.ioma.gba.gob.ar/,DEL DO,Adelqui Oscar,Masculino,Decreto 172/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/172/417054,01/01/2024
Vocalía por el personal administrativo,Ministerio de Salud,DIRECTORIO (IOMA),Ley 6982,http://www.gob.gba.gov.ar/legislacion/legislacion/l-6982.html,24/12/1964,https://www.ioma.gba.gob.ar/,ANTONETTI,Raúl Horacio,Masculino,Decreto 1539/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1539/321772,04/07/2022
Vocalía por el personal docente,Ministerio de Salud,DIRECTORIO (IOMA),Ley 6982,http://www.gob.gba.gov.ar/legislacion/legislacion/l-6982.html,24/12/1964,https://www.ioma.gba.gob.ar/,MOLTENI,Mariana Luján,Femenino,Decreto 672/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/672/300821,09/05/2022
Vocalía por el personal policial,Ministerio de Salud,DIRECTORIO (IOMA),Ley 6982,http://www.gob.gba.gov.ar/legislacion/legislacion/l-6982.html,24/12/1964,https://www.ioma.gba.gob.ar/,HUARTE,Carlos Eduardo,Masculino,Decreto 2670/2025,https://normas.gba.gob.ar/ar-b/decreto/2025/2670/544981,01/03/2025
DIRECCIÓN DE AUDITORÍA Y FISCALIZACIÓN MÉDICO AMBULATORIA,Ministerio de Salud,Dirección Provincial de Prestaciones,Decreto 1166/2000,https://normas.gba.gob.ar/ar-b/decreto/2000/1166/56630,20/06/2000,http://www.ioma.gba.gob.ar/,"_,_","_,_",Femenino,,,
DIRECCIÓN DE AUDITORÍA Y FISCALIZACIÓN MÉDICA DE ESTABLECIMIENTOS ASISTENCIALES ,Ministerio de Salud,Dirección Provincial de Prestaciones,Decreto 1166/2000,https://normas.gba.gob.ar/ar-b/decreto/2000/1166/56630,20/06/2000,http://www.ioma.gba.gob.ar/,_____,_,Masculino,,,
DIRECCIÓN DE PROGRAMAS ESPECÍFICOS,Ministerio de Salud,Dirección Provincial de Prestaciones,Decreto 1166/2000,https://normas.gba.gob.ar/ar-b/decreto/2000/1166/56630,20/06/2000,http://www.ioma.gba.gob.ar/,DACIUK,Nadia Ileana,Femenino,Decreto 87/2021,https://normas.gba.gob.ar/documentos/VGO2QPtk.pdf,09/11/2020
"UNIDAD DE EVALUACIÓN DE PRESTACIONES, TECNOLOGÍA Y CALIDAD",Ministerio de Salud,Dirección Provincial de Prestaciones,Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,GALLARDO,Edgar Dalmiro,Masculino,Decreto 466/2023,https://normas.gba.gob.ar/documentos/0ZdYyKfq.pdf,01/10/2022
DIRECCIÓN DE VALIDACIÓN DE PRESTACIONES ,Ministerio de Salud,Dirección Provincial de Prestaciones,Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,http://www.ioma.gba.gob.ar/,,,,,,
DIRECCIÓN DE PRESTACIONES DE PRIMER NIVEL,Ministerio de Salud,Dirección Provincial de Prestaciones,Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,"",MARTIN,Luciana ,Femenino,Resolución 1917/2026 del Instituto de Obra Médico Asistencial (IOMA),https://normas.gba.gob.ar/ar-b/resolucion/2026/1917/616868,16/07/2026
DIRECCIÓN DE PRESTACIONES DE SEGUNDO NIVEL,Ministerio de Salud,Dirección Provincial de Prestaciones,Decreto 1232/2022,https://normas.gba.gob.ar/ar-b/decreto/2022/1232/316721,26/09/2022,"",PESCE,Pablo Adrián,Masculino,Decreto 189/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/189/418526,27/02/2024
