unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Comisión de Investigaciones Científicas (CIC),"Ministerio de Producción, Ciencia e Innovación Tecnológica","Subsecretaría de Ciencia, Tecnología e Innovación",Decreto-Ley 7385,https://normas.gba.gob.ar/documentos/qxDgJty0.html,24/04/1968,https://www.gba.gob.ar/cic,SALVAREZZA,Roberto Carlos ,Masculino,Decreto 232/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/232/423904,01/03/2024
Directorio,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Comisión de Investigaciones Científicas (CIC),Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/cic,SUAREZ,Diana Valeria,Femenino,Decreto 1965/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/1965/459534,07/09/2024
Dirección Provincial de Comunicación y Divulgación Científica,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Directorio,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/cic,BADENES,Natalia,Femenino,Decreto 474/2022,https://normas.gba.gob.ar/documentos/xAALlXcR.pdf,01/04/2022
Dirección Provincial de Vinculación y Transferencia,"Ministerio de Ciencia, Tecnología e Innovación",Directorio,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/ciencia,CAVANAGH,Matías Toribio,Masculino,Resolución 462/2025 del Comisión de Investigaciones Científicas,https://normas.gba.gob.ar/ar-b/resolucion/2025/462/531851,18/08/2025
"Dirección Provincial de Gestión, Seguimiento y Desarrollo de la Actividad Científica","Ministerio de Producción, Ciencia e Innovación Tecnológica",Directorio,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/ciencia,SILVA,Mariela Viviana,Femenino,Decreto 796/2022,https://normas.gba.gob.ar/documentos/021DWJUr.pdf,01/05/2022
Dirección Provincial de Administración Científica y Técnica,"Ministerio de Ciencia, Tecnología e Innovación",Directorio,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/ciencia,RAFFO,Mariano,Masculino,Resolución 108/2024 del Comisión de Investigaciones Científicas (CIC),https://normas.gba.gob.ar/ar-b/resolucion/2024/108/423943,01/03/2024
Unidad de Coordinación y Control de Gestión,"Ministerio de Ciencia, Tecnología e Innovación",Directorio,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/ciencia,SCHAPACHNIK,Fernando Pablo,Masculino,Resolución 321/2025 de la Comisión de Investigaciones Científicas (CIC),https://normas.gba.gob.ar/ar-b/resolucion/2025/321/518213,01/07/2025
Secretaría Administrativa del Directorio,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Directorio,Decreto-ley 7385/1968,https://normas.gba.gob.ar/documentos/qxDgJty0.html,24/04/1968,https://www.gba.gob.ar/cic,PASCUAL,Florencia,Femenino,Resolución 258/2026 del Comisión de Investigaciones Científicas (CIC),https://normas.gba.gob.ar/ar-b/resolucion/2026/258/591000,01/04/2026
MIEMBROS DIRECTORIO (CIC),"Ministerio de Producción, Ciencia e Innovación Tecnológica",Directorio,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/cic,,,,,,
DIRECCIÓN DE PUBLICACIONES Y CONTENIDOS ESPECIALES,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Dirección Provincial de Comunicación y Divulgación Científica,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/cic,ARMENTIA,Manuel Alejandro ,Masculino,Decreto 2334/2023,https://normas.gba.gob.ar/ar-b/decreto/2023/2334/402894,01/10/2023
DIRECCIÓN DE GESTIÓN DE LA INNOVACIÓN Y PROGRAMAS ESPECIALES,"Ministerio de Producción, Ciencia e Innovación Tecnológica",Dirección Provincial de Vinculación y Transferencia,Decreto 156/2017 E,https://normas.gba.gob.ar/ar-b/decreto/2017/156e/20576,06/06/2017,https://www.gba.gob.ar/cic,MONASTERIOS,Claudia Sabrina,Femenino,Resolución 237/2024 del Comisión de Investigaciones Científicas,https://normas.gba.gob.ar/ar-b/resolucion/2024/237/433110,07/03/2024
